"GeographyCode","QS608EW0001","QS608EW0002","QS608EW0003","QS608EW0004","QS608EW0005","QS608EW0006","QS608EW0007","QS608EW0008","QS608EW0009","QS608EW0010","QS608EW0011","QS608EW0012","QS608EW0013","QS608EW0014","QS608EW0015","QS608EW0016","QS608EW0017","QS608EW0018","QS608EW0019","QS608EW0020","QS608EW0021","QS608EW0022","QS608EW0023","QS608EW0024","QS608EW0025","QS608EW0026","QS608EW0027","QS608EW0028","QS608EW0029","QS608EW0030","QS608EW0031","QS608EW0032","QS608EW0033","QS608EW0034","QS608EW0035","QS608EW0036","QS608EW0037","QS608EW0038","QS608EW0039","QS608EW0040","QS608EW0041","QS608EW0042","QS608EW0043","QS608EW0044","QS608EW0045","QS608EW0046","QS608EW0047","QS608EW0048","QS608EW0049","QS608EW0050","QS608EW0051","QS608EW0052","QS608EW0053","QS608EW0054","QS608EW0055"
"E01000939",1082,87,28,5,23,59,40,9,9,1,180,102,66,14,21,1,71,7,62,30,13,19,0,81,59,59,0,22,22,0,140,98,42,42,0,129,38,70,1,2,0,13,5,110,51,4,19,36,0,144,98,46,149,149,0
"E01000940",993,156,17,2,15,139,94,31,10,4,172,128,81,5,38,4,33,11,82,55,23,3,1,78,16,16,0,62,62,0,61,46,15,15,0,79,10,59,1,4,0,5,0,56,19,6,9,21,1,119,76,43,190,189,1
"E01000941",1077,102,20,2,18,82,61,11,9,1,175,102,54,18,30,0,42,31,91,61,21,9,0,119,30,30,0,89,89,0,118,83,35,34,1,122,41,58,6,1,0,16,0,140,60,13,14,52,1,137,119,18,73,73,0
"E01000942",1066,229,20,0,20,209,122,45,38,4,198,137,84,6,41,6,39,22,68,48,10,10,0,71,27,27,0,44,44,0,46,29,17,17,0,74,11,39,2,0,0,5,17,52,20,2,14,16,0,50,27,23,278,278,0
"E01000943",914,185,22,2,20,163,112,17,27,7,236,175,123,10,32,10,48,13,45,34,6,5,0,51,12,12,0,39,39,0,33,24,9,5,4,54,15,31,1,1,0,5,1,37,10,1,17,9,0,62,38,24,211,211,0
"E01000944",1770,176,95,0,95,81,44,22,13,2,275,133,100,10,21,2,134,8,117,74,40,1,2,144,46,46,0,98,98,0,94,81,13,13,0,193,65,99,1,4,1,23,0,124,53,2,40,29,0,180,138,42,467,467,0
"E01000945",1384,172,13,0,13,159,86,42,25,6,245,167,102,31,26,8,53,25,112,72,30,9,1,120,49,49,0,71,71,0,106,92,14,14,0,97,23,61,5,3,0,2,3,175,107,2,36,30,0,78,54,24,279,279,0
"E01000946",1274,262,67,9,58,195,76,61,45,13,384,251,179,30,40,2,108,25,94,46,35,9,4,124,56,56,0,68,68,0,48,34,14,14,0,109,44,45,1,3,0,16,0,51,15,3,7,26,0,86,77,9,116,114,2
"E01000947",1812,452,46,0,46,406,307,55,39,5,353,247,141,45,59,2,80,26,98,44,38,12,4,189,66,66,0,123,123,0,95,47,48,43,5,124,45,60,3,1,0,9,6,107,36,9,32,30,0,144,107,37,250,250,0
"E01000948",1466,347,91,4,87,256,134,46,67,9,418,321,198,39,66,18,87,10,110,63,31,13,3,160,50,50,0,110,110,0,52,33,19,18,1,125,20,74,8,1,0,14,8,86,20,4,24,38,0,78,54,24,90,90,0
"E01000949",1380,123,41,0,41,82,56,17,9,0,404,255,206,17,27,5,77,72,170,75,67,24,4,104,32,32,0,72,72,0,118,38,80,73,7,168,39,108,0,5,0,13,3,93,20,4,21,48,0,115,58,57,85,85,0
"E01000950",1317,57,8,0,8,49,25,11,11,2,197,131,90,12,20,9,54,12,88,54,25,9,0,164,34,34,0,130,130,0,144,82,62,60,2,187,59,112,0,4,0,8,4,155,62,5,33,55,0,190,149,41,135,131,4
"E01000951",1352,83,9,0,9,74,42,18,13,1,193,119,88,2,27,2,68,6,101,63,25,13,0,139,40,40,0,99,99,0,134,70,64,59,5,154,44,79,2,14,0,2,13,174,57,4,52,61,0,145,109,36,229,229,0
"E01000952",1541,136,29,0,29,107,51,39,16,1,271,179,129,14,36,0,68,24,127,55,64,4,4,130,40,40,0,90,90,0,116,66,50,50,0,232,60,133,11,11,0,7,10,153,46,8,49,50,0,155,125,30,221,221,0
"E01000953",1414,117,20,3,17,97,73,23,1,0,195,119,96,13,10,0,49,27,145,65,55,25,0,92,20,20,0,72,72,0,157,104,53,47,6,227,59,120,2,6,0,40,0,175,64,7,43,61,0,155,133,22,151,151,0
"E01000954",1494,89,14,0,14,75,62,7,6,0,187,109,89,8,12,0,70,8,125,73,41,6,5,159,40,40,0,119,118,1,128,88,40,38,2,247,62,138,8,14,0,22,3,219,61,5,73,80,0,255,186,69,85,85,0
"E01000955",1332,53,11,2,9,42,22,13,7,0,207,92,80,0,11,1,85,30,142,68,57,16,1,118,35,35,0,83,83,0,118,57,61,59,2,183,52,103,2,6,0,16,4,182,99,9,34,40,0,151,116,35,178,178,0
"E01000956",1444,135,10,2,8,125,69,37,12,7,225,157,123,12,21,1,50,18,106,65,36,0,5,130,34,34,0,96,96,0,151,84,67,67,0,169,39,100,1,5,0,17,7,175,56,10,57,52,0,166,132,34,187,187,0
"E01000957",1603,252,24,0,24,228,157,48,12,11,345,253,173,43,35,2,64,28,137,77,45,10,5,178,25,25,0,153,150,3,105,66,39,35,4,169,51,75,3,10,0,17,13,97,36,3,23,34,1,211,162,49,109,109,0
"E01000958",2000,236,41,0,41,195,119,54,18,4,364,277,202,26,40,9,61,26,205,120,65,15,5,177,40,40,0,137,137,0,126,98,28,27,1,241,56,154,2,1,0,23,5,164,78,12,45,29,0,224,175,49,263,263,0
"E01000959",1457,83,12,2,10,71,44,22,5,0,250,177,135,14,23,5,46,27,118,73,30,4,11,123,40,40,0,83,83,0,149,90,59,55,4,209,51,127,5,10,0,16,0,156,51,8,44,53,0,176,116,60,193,193,0
"E01000960",1580,476,64,0,64,412,231,112,64,5,455,292,181,36,61,14,136,27,129,98,31,0,0,138,38,38,0,100,100,0,92,56,36,34,2,59,22,28,3,4,0,1,1,55,25,0,9,21,0,91,52,39,85,85,0
"E01000961",1396,217,57,11,46,160,93,22,44,1,347,220,156,30,32,2,109,18,99,54,22,21,2,139,52,52,0,87,87,0,92,78,14,13,1,155,66,70,3,2,0,14,0,104,42,2,28,32,0,179,144,35,64,64,0
"E01000962",1500,613,106,2,104,507,267,125,93,22,502,360,210,73,66,11,109,33,92,63,16,7,6,107,21,21,0,86,82,4,37,29,8,8,0,40,22,12,0,3,0,3,0,23,10,0,0,13,0,44,19,25,42,42,0
"E01000963",1594,507,170,10,160,337,157,105,68,7,588,317,201,61,47,8,262,9,102,83,7,12,0,113,34,34,0,79,79,0,42,32,10,10,0,32,12,13,0,1,0,6,0,13,2,6,2,3,0,86,64,22,111,111,0
"E01000964",1409,408,89,0,89,319,163,86,54,16,471,323,194,39,76,14,113,35,108,74,23,11,0,112,32,32,0,80,80,0,43,32,11,9,2,78,31,22,0,6,0,17,2,49,23,7,0,19,0,115,92,23,25,25,0
"E01000965",1382,442,84,0,84,358,194,90,71,3,434,283,202,36,44,1,120,31,94,58,22,14,0,86,36,36,0,50,50,0,38,24,14,14,0,90,28,41,0,2,0,19,0,75,13,17,21,24,0,61,45,16,62,59,3
"E01000966",1367,541,109,7,102,432,208,124,90,10,529,331,196,57,61,17,179,19,47,37,9,1,0,129,62,62,0,67,67,0,12,9,3,3,0,29,7,5,1,0,0,16,0,34,5,0,9,20,0,23,17,6,23,23,0
"E01000967",1175,395,142,23,119,253,111,73,57,12,421,233,116,39,60,18,179,9,39,26,11,0,2,129,55,55,0,74,74,0,47,21,26,26,0,32,8,11,2,5,0,5,1,32,12,0,14,6,0,63,54,9,17,17,0
"E01000968",1360,438,67,0,67,371,211,119,38,3,468,355,239,50,59,7,98,15,98,60,31,2,5,100,53,53,0,47,47,0,43,35,8,7,1,70,16,41,0,2,0,11,0,46,12,4,15,15,0,62,47,15,35,35,0
"E01000969",1872,673,105,1,104,568,332,148,70,18,662,485,270,113,79,23,154,23,114,77,31,6,0,173,42,42,0,131,131,0,52,27,25,25,0,63,23,37,0,1,0,2,0,48,28,0,5,15,0,41,22,19,46,43,3
"E01000970",1343,474,56,0,56,418,266,105,39,8,441,300,179,39,61,21,122,19,126,79,30,15,2,91,19,19,0,72,70,2,47,35,12,12,0,48,22,19,0,2,0,5,0,39,22,0,8,9,0,30,18,12,47,47,0
"E01000971",1332,454,71,0,71,383,198,99,82,4,517,360,200,62,78,20,126,31,66,39,18,7,2,77,11,11,0,66,66,0,47,20,27,27,0,87,21,44,0,9,0,13,0,29,14,2,4,9,0,33,24,9,22,22,0
"E01000972",1822,320,64,0,64,256,112,84,52,8,519,384,273,41,67,3,121,14,188,108,71,8,1,189,51,51,0,138,138,0,77,57,20,20,0,147,40,85,11,3,1,3,4,111,26,4,32,49,0,175,126,49,96,96,0
"E01000973",1757,354,47,0,47,307,182,91,19,15,572,420,283,55,66,16,114,38,164,96,46,19,3,134,31,31,0,103,103,0,82,54,28,28,0,156,52,67,4,5,4,22,2,91,43,0,21,26,1,140,92,48,64,64,0
"E01000974",1550,337,61,0,61,276,170,77,20,9,387,290,211,31,43,5,69,28,121,77,31,5,8,127,31,31,0,96,92,4,85,59,26,22,4,165,48,76,1,9,0,27,4,96,44,4,22,26,0,167,142,25,65,65,0
