"GeographyCode","QS105EW0001","QS105EW0002","QS105EW0003"
"E00004120",3,3,0
"E00004121",0,0,0
"E00004122",0,0,0
"E00004123",11,3,8
"E00004124",3,2,1
"E00004125",8,6,2
"E00004126",1,1,0
"E00004127",2,0,2
"E00004128",6,2,4
"E00004129",1,0,1
"E00004130",7,4,3
"E00004131",1,0,1
"E00004132",0,0,0
"E00004133",7,4,3
"E00004134",2,1,1
"E00004135",0,0,0
"E00004136",2,1,1
"E00004137",3,0,3
"E00004138",0,0,0
"E00004139",0,0,0
"E00004140",4,4,0
"E00004141",0,0,0
"E00004142",0,0,0
"E00004143",0,0,0
"E00004144",3,1,2
"E00004145",3,0,3
"E00004146",2,2,0
"E00004147",4,1,3
"E00004148",5,4,1
"E00004149",7,4,3
"E00004150",3,2,1
"E00004151",0,0,0
"E00004152",4,2,2
"E00004153",2,1,1
"E00004154",0,0,0
"E00004155",2,1,1
"E00004156",0,0,0
"E00004157",9,4,5
"E00004158",6,3,3
"E00004159",4,1,3
"E00004160",5,2,3
"E00004161",1,1,0
"E00004162",0,0,0
"E00004163",9,5,4
"E00004164",6,4,2
"E00004165",2,0,2
"E00004166",2,1,1
"E00004167",11,3,8
"E00004168",0,0,0
"E00004169",13,4,9
"E00004172",0,0,0
"E00004173",15,5,10
"E00004174",5,3,2
"E00004175",4,0,4
"E00004177",3,1,2
"E00004179",0,0,0
"E00004180",3,2,1
"E00004181",1,1,0
"E00004182",2,1,1
"E00004183",0,0,0
"E00004184",3,0,3
"E00004185",0,0,0
"E00004187",5,2,3
"E00004188",2,0,2
"E00004189",0,0,0
"E00004190",2,1,1
"E00004193",10,8,2
"E00004194",1,0,1
"E00004195",3,1,2
"E00004196",2,0,2
"E00004197",2,1,1
"E00004198",2,2,0
"E00004199",1,0,1
"E00004200",0,0,0
"E00004201",6,3,3
"E00004202",0,0,0
"E00004203",2,1,1
"E00004204",4,4,0
"E00004205",7,2,5
"E00004206",5,0,5
"E00004207",0,0,0
"E00004208",3,1,2
"E00004209",1,1,0
"E00004210",0,0,0
"E00004211",3,1,2
"E00004212",3,0,3
"E00004213",6,4,2
"E00004214",7,1,6
"E00004215",5,3,2
"E00004216",9,6,3
"E00004217",2,1,1
"E00004218",3,1,2
"E00004219",4,3,1
"E00004220",1,1,0
"E00004221",0,0,0
"E00004222",6,0,6
"E00004223",4,3,1
"E00004224",3,2,1
"E00004225",0,0,0
"E00004226",7,3,4
"E00004227",2,1,1
"E00004228",11,7,4
"E00004229",5,2,3
"E00004230",0,0,0
"E00004231",9,2,7
"E00004232",3,1,2
"E00004233",4,2,2
"E00004234",1,0,1
