"GeographyCode","QS111EW0001","QS111EW0002","QS111EW0003","QS111EW0004","QS111EW0005","QS111EW0006","QS111EW0007","QS111EW0008","QS111EW0009","QS111EW0010","QS111EW0011","QS111EW0012","QS111EW0013","QS111EW0014","QS111EW0015","QS111EW0016","QS111EW0017"
"E01000918",935,268,94,149,25,388,206,91,91,108,60,36,12,171,122,47,2
"E01000919",834,274,123,135,16,333,168,81,84,113,70,36,7,114,73,39,2
"E01000920",946,273,87,152,34,388,160,121,107,150,75,61,14,135,87,43,5
"E01000921",946,373,115,229,29,400,173,87,140,86,43,29,14,87,50,36,1
"E01000922",653,214,56,135,23,266,108,64,94,79,45,22,12,94,57,35,2
"E01000923",656,146,38,85,23,308,123,66,119,117,52,51,14,85,53,30,2
"E01000924",795,263,85,157,21,318,122,95,101,105,45,50,10,109,55,50,4
"E01000925",629,145,34,54,57,253,64,55,134,83,41,28,14,148,107,35,6
"E01000926",698,303,38,232,33,253,81,72,100,60,36,16,8,82,49,30,3
"E01000927",734,232,34,159,39,261,70,97,94,103,38,50,15,138,63,67,8
"E01000928",682,154,38,83,33,289,92,66,131,117,45,54,18,122,59,59,4
"E01000929",685,132,35,51,46,303,81,60,162,124,60,47,17,126,69,53,4
"E01000930",1076,300,130,115,55,315,137,59,119,179,126,42,11,282,235,46,1
"E01000931",873,284,75,145,64,346,145,72,129,102,54,29,19,141,83,57,1
"E01000932",947,351,97,217,37,357,154,113,90,118,66,49,3,121,85,36,0
"E01000933",821,268,64,175,29,297,119,96,82,114,62,43,9,142,95,44,3
"E01000934",732,193,67,78,48,293,116,53,124,102,49,44,9,144,106,34,4
"E01000935",624,157,47,47,63,294,91,63,140,94,53,35,6,79,50,27,2
"E01000936",536,146,56,64,26,230,60,49,121,74,28,37,9,86,50,31,5
"E01000937",502,238,150,71,17,156,78,34,44,48,28,17,3,60,40,17,3
"E01000938",737,299,104,163,32,301,127,50,124,68,36,26,6,69,38,29,2
"E01000939",446,120,28,71,21,185,56,29,100,55,23,27,5,86,49,33,4
"E01000940",534,198,107,67,24,170,50,39,81,65,35,23,7,101,61,37,3
"E01000941",557,117,37,47,33,262,103,53,106,83,46,31,6,95,56,36,3
"E01000942",686,283,121,142,20,226,130,60,36,81,57,22,2,96,73,19,4
"E01000943",596,269,152,103,14,191,110,35,46,69,43,21,5,67,54,13,0
"E01000944",667,273,36,202,35,228,74,49,105,67,24,29,14,99,54,44,1
"E01000945",611,245,82,133,30,241,81,67,93,49,24,22,3,76,36,38,2
"E01000946",715,224,94,104,26,236,79,56,101,104,55,40,9,151,84,61,6
"E01000947",871,386,121,243,22,320,142,96,82,85,37,35,13,80,44,34,2
"E01000948",846,249,88,129,32,314,116,89,109,113,55,47,11,170,103,59,8
"E01000949",739,132,46,47,39,357,141,81,135,94,41,35,18,156,103,47,6
"E01000950",550,137,29,58,50,245,77,49,119,79,38,32,9,89,48,32,9
"E01000951",603,154,31,85,38,230,70,41,119,69,32,21,16,150,97,48,5
"E01000952",675,193,31,117,45,275,80,65,130,76,39,28,9,131,56,70,5
"E01000953",708,167,42,80,45,245,72,64,109,107,53,45,9,189,132,50,7
"E01000954",642,161,25,56,80,289,83,44,162,73,33,33,7,119,61,54,4
"E01000955",657,143,42,47,54,283,109,47,127,100,59,29,12,131,83,44,4
"E01000956",608,226,72,105,49,257,88,50,119,69,33,31,5,56,28,25,3
"E01000957",765,250,50,150,50,307,98,89,120,114,57,48,9,94,58,34,2
"E01000958",835,365,75,194,96,323,104,88,131,70,24,34,12,77,34,39,4
"E01000959",698,197,53,95,49,258,91,54,113,87,37,38,12,156,83,65,8
"E01000960",841,314,107,160,47,307,101,78,128,85,41,37,7,135,72,62,1
"E01000961",652,160,39,72,49,273,73,55,145,81,26,42,13,138,59,77,2
"E01000962",745,288,61,193,34,307,105,98,104,78,33,34,11,72,37,33,2
"E01000963",851,252,76,132,44,296,80,71,145,100,38,53,9,203,117,82,4
"E01000964",713,190,59,96,35,301,91,92,118,97,40,45,12,125,70,51,4
"E01000965",764,287,89,168,30,282,113,72,97,85,42,40,3,110,69,39,2
"E01000966",675,198,45,135,18,290,90,87,113,83,32,38,13,104,55,49,0
"E01000967",619,119,37,64,18,245,62,50,133,90,42,39,9,165,84,79,2
"E01000968",760,309,84,193,32,246,93,80,73,90,49,37,4,115,88,27,0
"E01000969",954,372,99,252,21,366,120,113,133,93,43,37,13,123,79,41,3
"E01000970",831,402,166,221,15,287,156,85,46,69,45,20,4,73,39,32,2
"E01000971",649,188,52,114,22,282,87,77,118,81,33,39,9,98,50,48,0
"E01000972",949,295,102,141,52,385,149,81,155,126,75,38,13,143,88,51,4
"E01000973",894,394,117,247,30,310,120,82,108,95,51,32,12,95,53,38,4
"E01000974",821,283,84,164,35,326,150,80,96,95,52,22,21,117,72,42,3
