"GeographyCode","QS119EW0001","QS119EW0002","QS119EW0003","QS119EW0004","QS119EW0005","QS119EW0006"
"E00004120",143,86,43,13,1,0
"E00004121",118,69,36,9,3,1
"E00004122",103,67,28,6,2,0
"E00004123",108,78,24,4,2,0
"E00004124",100,46,40,12,1,1
"E00004125",178,60,79,36,3,0
"E00004126",144,70,44,22,6,2
"E00004127",124,74,31,17,2,0
"E00004128",161,85,53,15,7,1
"E00004129",142,72,48,16,6,0
"E00004130",128,61,46,13,6,2
"E00004131",119,74,34,8,2,1
"E00004132",92,66,23,2,1,0
"E00004133",118,57,41,15,5,0
"E00004134",100,49,37,12,1,1
"E00004135",105,41,43,15,5,1
"E00004136",110,67,33,8,1,1
"E00004137",147,71,55,16,5,0
"E00004138",142,48,52,25,12,5
"E00004139",140,5,39,66,22,8
"E00004140",111,64,34,10,2,1
"E00004141",114,45,39,19,5,6
"E00004142",133,64,45,20,3,1
"E00004143",126,63,35,10,9,9
"E00004144",102,72,22,8,0,0
"E00004145",110,67,30,11,1,1
"E00004146",126,59,50,13,4,0
"E00004147",126,76,41,7,2,0
"E00004148",106,47,43,13,2,1
"E00004149",149,104,36,9,0,0
"E00004150",147,90,39,12,4,2
"E00004151",148,98,45,5,0,0
"E00004152",113,77,28,6,2,0
"E00004153",108,52,40,9,7,0
"E00004154",122,68,40,14,0,0
"E00004155",103,64,34,4,0,1
"E00004156",126,57,44,18,6,1
"E00004157",94,52,35,5,2,0
"E00004158",124,36,42,29,14,3
"E00004159",160,33,51,47,22,7
"E00004160",103,20,34,36,13,0
"E00004161",96,60,29,5,2,0
"E00004162",128,41,58,23,5,1
"E00004163",163,75,59,18,10,1
"E00004164",160,31,65,40,20,4
"E00004165",146,35,53,43,10,5
"E00004166",157,30,48,42,35,2
"E00004167",99,68,24,6,0,1
"E00004168",109,64,35,6,4,0
"E00004169",149,75,46,20,8,0
"E00004172",148,51,54,28,13,2
"E00004173",127,35,68,22,2,0
"E00004174",131,15,61,34,21,0
"E00004175",128,31,51,32,13,1
"E00004177",74,11,52,11,0,0
"E00004179",190,35,63,61,29,2
"E00004180",128,37,69,17,5,0
"E00004181",212,31,79,68,34,0
"E00004182",76,31,25,16,4,0
