"GeographyCode","QS105EW0001","QS105EW0002","QS105EW0003"
"E01000842",14,9,5
"E01000843",13,6,7
"E01000844",5,3,2
"E01000845",21,13,8
"E01000846",35,14,21
"E01000847",24,9,15
"E01000848",12,3,9
"E01000849",27,16,11
"E01000850",16,9,7
"E01000851",28,15,13
"E01000852",21,6,15
"E01000853",10,4,6
"E01000854",12,4,8
"E01000855",19,6,13
"E01000856",10,4,6
"E01000857",22,8,14
"E01000858",22,7,15
"E01000859",38,20,18
"E01000860",16,9,7
"E01000861",11,6,5
"E01000862",39,24,15
"E01000863",11,3,8
"E01000864",15,5,10
"E01000865",27,17,10
"E01000866",23,12,11
"E01000867",3,1,2
"E01000868",8,4,4
"E01000869",8,4,4
"E01000870",10,3,7
"E01000871",44,15,29
"E01000872",11,6,5
"E01000873",21,12,9
"E01000874",13,9,4
"E01000875",8,3,5
"E01000876",14,6,8
"E01000877",14,9,5
"E01000878",22,11,11
"E01000879",25,12,13
"E01000880",21,8,13
"E01000881",13,7,6
"E01000882",18,10,8
"E01000883",16,10,6
"E01000884",43,24,19
"E01000885",33,12,21
"E01000886",28,16,12
"E01000887",16,8,8
"E01000888",23,11,12
"E01000889",24,15,9
"E01000890",17,10,7
"E01000891",17,9,8
"E01000892",27,14,13
"E01000893",27,17,10
"E01000894",42,18,24
"E01000895",24,11,13
"E01000896",37,21,16
"E01000897",26,12,14
"E01000898",17,12,5
"E01000899",49,27,22
"E01000900",24,15,9
"E01000901",14,9,5
"E01000902",8,6,2
"E01000903",9,3,6
"E01000904",13,7,6
"E01000905",23,8,15
"E01000906",28,14,14
"E01000907",17,11,6
"E01000908",17,12,5
"E01000909",47,23,24
"E01000910",36,16,20
"E01000911",14,5,9
"E01000912",14,5,9
"E01000913",51,27,24
"E01000914",20,3,17
"E01000915",15,7,8
"E01000916",17,6,11
"E01000917",9,7,2
"E01000918",11,4,7
"E01000919",17,7,10
"E01000920",20,5,15
"E01000921",12,4,8
"E01000922",9,4,5
"E01000923",19,6,13
"E01000924",15,9,6
"E01000925",18,8,10
"E01000926",21,8,13
"E01000927",15,5,10
"E01000928",20,16,4
"E01000929",21,9,12
"E01000930",16,6,10
"E01000931",20,13,7
"E01000932",11,5,6
"E01000933",10,5,5
"E01000934",19,9,10
"E01000935",23,11,12
"E01000936",21,8,13
"E01000937",8,3,5
"E01000938",10,6,4
"E01000939",9,5,4
"E01000940",14,6,8
"E01000941",9,3,6
"E01000942",17,7,10
"E01000943",4,1,3
"E01000944",9,5,4
"E01000945",14,7,7
"E01000946",20,10,10
"E01000947",32,18,14
"E01000948",35,17,18
"E01000949",13,6,7
"E01000950",16,9,7
"E01000951",12,9,3
"E01000952",12,4,8
"E01000953",16,5,11
"E01000954",11,4,7
"E01000955",14,5,9
"E01000956",14,6,8
"E01000957",6,3,3
"E01000958",26,11,15
"E01000959",26,18,8
"E01000960",17,11,6
"E01000961",38,18,20
"E01000962",3,0,3
"E01000963",37,16,21
"E01000964",14,6,8
"E01000965",16,6,10
"E01000966",17,5,12
"E01000967",35,21,14
"E01000968",15,10,5
"E01000969",22,10,12
"E01000970",4,0,4
"E01000971",18,5,13
"E01000972",18,6,12
"E01000973",8,4,4
"E01000974",17,8,9
