"GeographyCode","QS405EW0001","QS405EW0002","QS405EW0003","QS405EW0004","QS405EW0005","QS405EW0006","QS405EW0007","QS405EW0008","QS405EW0009","QS405EW0010","QS405EW0011","QS405EW0012","QS405EW0013","QS405EW0014"
"E01000842",724,359,228,131,3,83,20,63,265,259,1,3,2,14
"E01000843",846,324,206,118,1,188,165,23,322,310,2,6,4,11
"E01000844",870,361,192,169,1,67,17,50,427,415,3,6,3,14
"E01000845",731,348,191,157,0,93,68,25,279,270,1,7,1,11
"E01000846",616,158,95,63,3,359,331,28,87,84,0,3,0,9
"E01000847",677,219,120,99,2,276,251,25,173,157,11,4,1,7
"E01000848",805,399,236,163,3,73,52,21,312,301,1,9,1,18
"E01000849",862,374,217,157,2,63,25,38,407,394,1,10,2,16
"E01000850",664,171,113,58,5,119,67,52,351,314,14,12,11,18
"E01000851",861,218,113,105,4,147,89,58,466,433,10,14,9,26
"E01000852",625,157,121,36,1,154,60,94,297,265,1,12,19,16
"E01000853",840,144,82,62,4,530,407,123,149,135,2,8,4,13
"E01000854",718,169,85,84,2,243,183,60,273,249,4,14,6,31
"E01000855",1111,412,248,164,6,185,8,177,469,395,21,33,20,39
"E01000856",628,132,63,69,2,311,223,88,181,171,0,8,2,2
"E01000857",686,299,180,119,2,166,137,29,211,200,0,10,1,8
"E01000858",775,138,59,79,8,444,221,223,174,161,0,10,3,11
"E01000859",807,392,231,161,7,87,36,51,308,293,4,8,3,13
"E01000860",797,206,137,69,3,381,56,325,192,141,30,11,10,15
"E01000861",729,204,86,118,2,229,183,46,287,266,0,15,6,7
"E01000862",816,480,283,197,0,52,26,26,268,252,4,10,2,16
"E01000863",667,153,83,70,11,132,37,95,353,334,6,9,4,18
"E01000864",717,259,117,142,1,201,104,97,249,230,0,19,0,7
"E01000865",451,195,92,103,1,122,49,73,125,116,2,5,2,8
"E01000866",926,293,146,147,9,407,267,140,204,190,0,11,3,13
"E01000867",675,126,46,80,9,306,210,96,228,206,2,5,15,6
"E01000868",584,82,33,49,3,419,408,11,74,72,0,2,0,6
"E01000869",967,324,153,171,2,250,132,118,378,348,2,24,4,13
"E01000870",774,255,96,159,8,350,319,31,152,144,3,4,1,9
"E01000871",632,350,183,167,15,91,72,19,169,163,0,4,2,7
"E01000872",913,230,86,144,7,135,82,53,535,524,0,9,2,6
"E01000873",710,369,187,182,0,98,29,69,237,228,2,7,0,6
"E01000874",704,394,195,199,1,21,17,4,273,261,2,7,3,15
"E01000875",839,251,106,145,7,133,46,87,438,427,0,9,2,10
"E01000876",800,208,64,144,7,342,271,71,233,225,2,3,3,10
"E01000877",726,300,130,170,1,71,34,37,340,328,0,8,4,14
"E01000878",550,306,193,113,1,62,41,21,161,154,1,5,1,20
"E01000879",602,299,181,118,1,50,46,4,241,236,1,3,1,11
"E01000880",621,315,173,142,0,33,26,7,259,255,1,2,1,14
"E01000881",632,213,140,73,3,62,48,14,342,339,0,3,0,12
"E01000882",728,360,211,149,3,20,17,3,330,324,0,5,1,15
"E01000883",638,225,133,92,4,50,33,17,346,330,2,7,7,13
"E01000884",577,363,214,149,1,24,15,9,178,171,0,4,3,11
"E01000885",592,348,256,92,2,50,42,8,162,157,0,4,1,30
"E01000886",606,332,151,181,2,107,93,14,156,150,2,3,1,9
"E01000887",690,298,128,170,5,132,119,13,245,233,0,7,5,10
"E01000888",697,285,150,135,4,214,123,91,188,180,0,8,0,6
"E01000889",657,109,38,71,2,472,338,134,66,63,0,3,0,8
"E01000890",767,67,21,46,5,635,627,8,54,48,2,3,1,6
"E01000891",672,91,37,54,4,460,433,27,108,103,0,4,1,9
"E01000892",823,320,174,146,16,233,214,19,234,218,3,11,2,20
"E01000893",715,426,279,147,5,32,19,13,244,233,0,9,2,8
"E01000894",619,362,246,116,0,26,21,5,220,207,6,7,0,11
"E01000895",841,300,195,105,3,203,173,30,311,291,5,12,3,24
"E01000896",756,449,302,147,0,31,16,15,265,257,1,7,0,11
"E01000897",721,429,278,151,0,16,14,2,252,244,1,6,1,24
"E01000898",850,184,113,71,2,375,177,198,269,243,15,1,10,20
"E01000899",698,480,325,155,0,12,9,3,171,164,2,3,2,35
"E01000900",757,234,102,132,6,325,287,38,182,172,1,7,2,10
"E01000901",703,109,31,78,25,465,307,158,94,90,1,3,0,10
"E01000902",590,106,46,60,7,367,323,44,102,96,0,6,0,8
"E01000903",686,282,169,113,4,220,65,155,168,157,2,5,4,12
"E01000904",918,210,89,121,8,478,423,55,220,210,1,7,2,2
"E01000905",812,71,13,58,1,627,607,20,109,101,2,6,0,4
"E01000906",788,392,227,165,0,101,96,5,281,262,0,16,3,14
"E01000907",627,192,79,113,4,341,314,27,86,84,0,2,0,4
"E01000908",827,262,116,146,2,435,422,13,116,94,1,13,8,12
"E01000909",661,393,253,140,7,123,92,31,124,110,0,11,3,14
"E01000910",588,352,225,127,1,97,80,17,126,118,3,5,0,12
"E01000911",663,287,137,150,4,263,92,171,105,95,1,5,4,4
