"GeographyCode","KS105EW0001","KS105EW0002","KS105EW0003","KS105EW0004","KS105EW0005","KS105EW0006","KS105EW0007","KS105EW0008","KS105EW0009","KS105EW0010","KS105EW0011","KS105EW0012","KS105EW0013","KS105EW0014","KS105EW0015","KS105EW0016","KS105EW0017","KS105EW0018","KS105EW0019","KS105EW0020","KS105EW0021","KS105EW0022","KS105EW0023","KS105EW0024","KS105EW0025","KS105EW0026","KS105EW0027","KS105EW0028","KS105EW0029","KS105EW0030","KS105EW0031"
"E01000842",724,106,234,25,91,86,11,58,11,1,18,13,13,1,2,54,14.6408839779006,32.3204419889503,3.45303867403315,12.5690607734807,11.878453038674,1.51933701657459,8.01104972375691,1.51933701657459,0.138121546961326,2.48618784530387,1.79558011049724,1.79558011049724,0.138121546961326,0.276243093922652,7.4585635359116
"E01000843",846,90,264,24,77,102,5,83,23,2,70,6,20,3,4,73,10.6382978723404,31.2056737588652,2.83687943262411,9.1016548463357,12.0567375886525,0.591016548463357,9.81087470449173,2.71867612293144,0.236406619385343,8.274231678487,0.709219858156028,2.36406619385343,0.354609929078014,0.472813238770686,8.62884160756501
"E01000844",870,81,281,20,92,129,14,97,17,0,17,15,24,3,5,75,9.31034482758621,32.2988505747126,2.29885057471264,10.5747126436782,14.8275862068966,1.60919540229885,11.1494252873563,1.95402298850575,0,1.95402298850575,1.72413793103448,2.75862068965517,0.344827586206897,0.574712643678161,8.62068965517241
"E01000845",731,75,265,13,63,75,16,74,16,0,26,16,15,5,1,71,10.2599179206566,36.2517099863201,1.77838577291382,8.61833105335157,10.2599179206566,2.18878248974008,10.1231190150479,2.18878248974008,0,3.55677154582763,2.18878248974008,2.05198358413133,0.683994528043776,0.136798905608755,9.71272229822161
"E01000846",616,86,134,24,36,99,19,16,7,7,81,36,25,1,2,43,13.961038961039,21.7532467532468,3.8961038961039,5.84415584415584,16.0714285714286,3.08441558441558,2.5974025974026,1.13636363636364,1.13636363636364,13.1493506493506,5.84415584415584,4.05844155844156,0.162337662337662,0.324675324675325,6.98051948051948
"E01000847",677,72,161,26,40,122,14,37,15,1,65,31,26,4,3,60,10.6351550960118,23.781388478582,3.84047267355982,5.90841949778434,18.0206794682422,2.06794682422452,5.46528803545052,2.21565731166913,0.147710487444609,9.60118168389956,4.57902511078287,3.84047267355982,0.590841949778434,0.443131462333826,8.86262924667651
"E01000848",805,90,258,23,109,93,13,93,14,4,8,17,28,3,0,52,11.1801242236025,32.0496894409938,2.85714285714286,13.5403726708075,11.5527950310559,1.61490683229814,11.5527950310559,1.73913043478261,0.496894409937888,0.993788819875776,2.11180124223602,3.47826086956522,0.372670807453416,0,6.45962732919255
"E01000849",862,118,348,19,71,78,12,56,8,0,27,14,19,4,1,87,13.6890951276102,40.3712296983759,2.20417633410673,8.23665893271462,9.04872389791183,1.39211136890951,6.49651972157773,0.928074245939675,0,3.1322505800464,1.62412993039443,2.20417633410673,0.464037122969838,0.116009280742459,10.092807424594
"E01000850",664,77,247,19,44,33,6,65,7,0,14,5,8,43,1,95,11.5963855421687,37.1987951807229,2.86144578313253,6.62650602409639,4.96987951807229,0.903614457831325,9.78915662650602,1.05421686746988,0,2.10843373493976,0.753012048192771,1.20481927710843,6.47590361445783,0.150602409638554,14.3072289156627
"E01000851",861,55,368,5,62,33,11,77,3,1,19,12,16,75,2,122,6.38792102206736,42.7409988385598,0.580720092915215,7.20092915214866,3.83275261324042,1.27758420441347,8.94308943089431,0.348432055749129,0.116144018583043,2.20673635307782,1.39372822299652,1.85830429732869,8.71080139372822,0.232288037166086,14.1695702671312
