"GeographyCode","KS107EW0001","KS107EW0002","KS107EW0003","KS107EW0004","KS107EW0005","KS107EW0006","KS107EW0007","KS107EW0008","KS107EW0009","KS107EW0010","KS107EW0011","KS107EW0012","KS107EW0013","KS107EW0014","KS107EW0015","KS107EW0016","KS107EW0017","KS107EW0018","KS107EW0019","KS107EW0020","KS107EW0021","KS107EW0022","KS107EW0023"
"E00004162",1,0,0,1,0,0,0,0,1,0,0,1,0,0,100,0,0,0,0,100,0,0,100
"E00004163",14,3,2,9,0,0,0,0,14,3,2,9,21.4285714285714,14.2857142857143,64.2857142857143,0,0,0,0,100,21.4285714285714,14.2857142857143,64.2857142857143
"E00004164",26,8,6,12,1,0,0,1,25,8,6,11,30.7692307692308,23.0769230769231,46.1538461538462,3.84615384615385,0,0,3.84615384615385,96.1538461538462,30.7692307692308,23.0769230769231,42.3076923076923
"E00004165",21,5,2,14,0,0,0,0,21,5,2,14,23.8095238095238,9.52380952380952,66.6666666666667,0,0,0,0,100,23.8095238095238,9.52380952380952,66.6666666666667
"E00004166",26,8,2,16,3,0,1,2,23,8,1,14,30.7692307692308,7.69230769230769,61.5384615384615,11.5384615384615,0,3.84615384615385,7.69230769230769,88.4615384615385,30.7692307692308,3.84615384615385,53.8461538461538
"E00004167",4,1,0,3,1,0,0,1,3,1,0,2,25,0,75,25,0,0,25,75,25,0,50
"E00004168",2,1,1,0,0,0,0,0,2,1,1,0,50,50,0,0,0,0,0,100,50,50,0
"E00004169",3,1,1,1,0,0,0,0,3,1,1,1,33.3333333333333,33.3333333333333,33.3333333333333,0,0,0,0,100,33.3333333333333,33.3333333333333,33.3333333333333
"E00004172",5,1,1,3,1,0,0,1,4,1,1,2,20,20,60,20,0,0,20,80,20,20,40
"E00004173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004174",7,2,1,4,1,0,0,1,6,2,1,3,28.5714285714286,14.2857142857143,57.1428571428571,14.2857142857143,0,0,14.2857142857143,85.7142857142857,28.5714285714286,14.2857142857143,42.8571428571429
"E00004175",9,1,1,7,1,0,0,1,8,1,1,6,11.1111111111111,11.1111111111111,77.7777777777778,11.1111111111111,0,0,11.1111111111111,88.8888888888889,11.1111111111111,11.1111111111111,66.6666666666667
"E00004177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004179",14,9,3,2,0,0,0,0,14,9,3,2,64.2857142857143,21.4285714285714,14.2857142857143,0,0,0,0,100,64.2857142857143,21.4285714285714,14.2857142857143
"E00004180",20,10,9,1,0,0,0,0,20,10,9,1,50,45,5,0,0,0,0,100,50,45,5
"E00004181",10,3,2,5,0,0,0,0,10,3,2,5,30,20,50,0,0,0,0,100,30,20,50
"E00004182",3,1,2,0,0,0,0,0,3,1,2,0,33.3333333333333,66.6666666666667,0,0,0,0,0,100,33.3333333333333,66.6666666666667,0
"E00004183",13,4,7,2,0,0,0,0,13,4,7,2,30.7692307692308,53.8461538461538,15.3846153846154,0,0,0,0,100,30.7692307692308,53.8461538461538,15.3846153846154
"E00004184",6,3,0,3,0,0,0,0,6,3,0,3,50,0,50,0,0,0,0,100,50,0,50
"E00004185",26,18,7,1,0,0,0,0,26,18,7,1,69.2307692307692,26.9230769230769,3.84615384615385,0,0,0,0,100,69.2307692307692,26.9230769230769,3.84615384615385
"E00004187",1,0,1,0,0,0,0,0,1,0,1,0,0,100,0,0,0,0,0,100,0,100,0
"E00004188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004193",1,0,1,0,0,0,0,0,1,0,1,0,0,100,0,0,0,0,0,100,0,100,0
"E00004194",4,2,1,1,0,0,0,0,4,2,1,1,50,25,25,0,0,0,0,100,50,25,25
"E00004195",3,0,1,2,0,0,0,0,3,0,1,2,0,33.3333333333333,66.6666666666667,0,0,0,0,100,0,33.3333333333333,66.6666666666667
"E00004196",1,0,0,1,0,0,0,0,1,0,0,1,0,0,100,0,0,0,0,100,0,0,100
"E00004197",1,0,0,1,0,0,0,0,1,0,0,1,0,0,100,0,0,0,0,100,0,0,100
"E00004198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E00004199",4,2,1,1,0,0,0,0,4,2,1,1,50,25,25,0,0,0,0,100,50,25,25
"E00004200",3,2,0,1,0,0,0,0,3,2,0,1,66.6666666666667,0,33.3333333333333,0,0,0,0,100,66.6666666666667,0,33.3333333333333
"E00004201",5,1,3,1,1,0,1,0,4,1,2,1,20,60,20,20,0,20,0,80,20,40,20
"E00004202",1,0,1,0,0,0,0,0,1,0,1,0,0,100,0,0,0,0,0,100,0,100,0
"E00004203",5,1,1,3,1,1,0,0,4,0,1,3,20,20,60,20,20,0,0,80,0,20,60
"E00004204",3,1,1,1,0,0,0,0,3,1,1,1,33.3333333333333,33.3333333333333,33.3333333333333,0,0,0,0,100,33.3333333333333,33.3333333333333,33.3333333333333
"E00004205",4,2,0,2,0,0,0,0,4,2,0,2,50,0,50,0,0,0,0,100,50,0,50
"E00004206",17,4,4,9,1,0,1,0,16,4,3,9,23.5294117647059,23.5294117647059,52.9411764705882,5.88235294117647,0,5.88235294117647,0,94.1176470588235,23.5294117647059,17.6470588235294,52.9411764705882
"E00004207",16,5,2,9,1,1,0,0,15,4,2,9,31.25,12.5,56.25,6.25,6.25,0,0,93.75,25,12.5,56.25
"E00004208",19,4,4,11,3,1,1,1,16,3,3,10,21.0526315789474,21.0526315789474,57.8947368421053,15.7894736842105,5.26315789473684,5.26315789473684,5.26315789473684,84.2105263157895,15.7894736842105,15.7894736842105,52.6315789473684
"E00004209",5,0,2,3,0,0,0,0,5,0,2,3,0,40,60,0,0,0,0,100,0,40,60
"E00004210",16,6,3,7,2,1,1,0,14,5,2,7,37.5,18.75,43.75,12.5,6.25,6.25,0,87.5,31.25,12.5,43.75
"E00004211",5,1,1,3,0,0,0,0,5,1,1,3,20,20,60,0,0,0,0,100,20,20,60
"E00004212",6,0,0,6,0,0,0,0,6,0,0,6,0,0,100,0,0,0,0,100,0,0,100
