"GeographyCode","QS105EW0001","QS105EW0002","QS105EW0003"
"E02000166",146,78,68
"E02000167",179,94,85
"E02000168",101,47,54
"E02000169",144,67,77
"E02000170",103,51,52
"E02000171",103,52,51
"E02000172",96,52,44
"E02000173",90,51,39
"E02000174",87,40,47
"E02000175",70,25,45
"E02000176",58,31,27
"E02000177",96,50,46
"E02000178",70,35,35
"E02000179",93,42,51
"E02000180",61,31,30
"E02000181",65,27,38
"E02000182",127,66,61
"E02000183",137,68,69
"E02000184",79,42,37
"E02000185",89,40,49
"E02000186",98,48,50
"E02000187",67,24,43
"E02000188",64,36,28
"E02000189",54,25,29
"E02000190",48,18,30
"E02000191",77,34,43
"E02000192",61,25,36
"E02000193",67,20,47
