"GeographyCode","QS401EW0001","QS401EW0002","QS401EW0003","QS401EW0004","QS401EW0005","QS401EW0006","QS401EW0007","QS401EW0008","QS401EW0009","QS401EW0010","QS401EW0011","QS401EW0012"
"E01000842",1368,1310,176,54,101,21,1134,332,796,6,0,58
"E01000843",1678,1524,207,9,112,86,1307,808,470,29,10,154
"E01000844",1772,1655,136,11,65,60,1519,497,1019,3,0,117
"E01000845",1444,1437,314,36,67,211,1123,530,521,72,0,7
"E01000846",1499,1452,405,16,76,313,1047,945,95,7,0,47
"E01000847",1684,1654,505,36,112,357,1145,964,175,6,4,30
"E01000848",1580,1541,251,27,80,144,1290,415,865,10,0,39
"E01000849",1569,1495,283,7,33,243,1212,772,421,19,0,74
"E01000850",1281,1272,136,2,24,110,1136,812,151,173,0,9
"E01000851",1645,1574,222,15,38,169,1349,767,346,236,3,71
"E01000852",976,937,12,1,1,10,925,905,11,9,0,39
"E01000853",1596,1544,11,0,1,10,1533,1355,123,55,0,52
"E01000854",1643,1602,72,9,30,33,1530,1254,175,101,0,41
"E01000855",1714,1518,56,30,0,26,1462,1159,267,36,0,196
"E01000856",1645,1641,403,14,64,325,1236,960,209,67,2,4
"E01000857",1443,1404,437,11,141,285,967,520,445,2,0,39
"E01000858",1861,1842,446,38,97,311,1396,1303,69,24,0,19
"E01000859",1586,1547,580,3,46,531,967,196,711,60,0,39
"E01000860",1307,1248,287,28,58,201,961,454,497,10,0,59
"E01000861",1574,1538,391,31,39,321,1147,463,587,97,0,36
"E01000862",1712,1675,571,14,158,399,1104,575,515,14,0,37
"E01000863",1383,1361,346,23,14,309,1014,436,298,280,1,22
"E01000864",1537,1508,460,37,135,288,1045,254,784,7,3,29
"E01000865",977,967,428,29,181,218,539,148,384,7,0,10
"E01000866",2030,2015,462,34,220,208,1553,862,642,49,0,15
"E01000867",1608,1588,175,6,61,108,1411,1098,236,77,2,20
"E01000868",1442,1437,303,49,98,156,1132,995,125,12,2,5
"E01000869",2098,2030,366,15,74,277,1664,915,725,24,0,68
"E01000870",1693,1693,397,20,190,187,1296,269,993,34,0,0
"E01000871",1653,1634,943,157,630,156,688,304,376,8,3,19
"E01000872",1896,1698,442,98,249,95,1256,395,801,60,0,198
"E01000873",1639,1590,707,52,94,561,883,228,613,42,0,49
"E01000874",1559,1524,91,3,13,75,1433,1140,245,48,0,35
"E01000875",1646,1524,173,46,84,43,1351,643,701,7,0,122
"E01000876",1748,1729,575,18,119,438,1151,701,434,16,3,19
"E01000877",1546,1467,574,32,119,423,893,322,501,70,0,79
"E01000878",1246,1211,222,125,57,40,989,659,330,0,0,35
"E01000879",1305,1281,331,132,126,73,950,268,662,20,0,24
"E01000880",1558,1558,377,161,173,43,1181,309,872,0,0,0
"E01000881",1451,1419,168,79,69,20,1251,658,532,61,0,32
"E01000882",1512,1407,394,95,82,217,1013,228,733,52,0,105
"E01000883",1319,1264,92,38,35,19,1172,626,503,43,0,55
"E01000884",1462,1425,694,243,394,57,731,163,568,0,0,37
"E01000885",1410,1410,645,306,231,108,765,483,278,4,0,0
"E01000886",1445,1415,589,16,161,412,826,230,582,14,0,30
"E01000887",1478,1455,518,17,66,435,937,469,433,35,0,23
"E01000888",1605,1528,578,18,65,495,950,388,560,2,0,77
"E01000889",1670,1668,514,73,110,331,1154,1075,65,14,0,2
"E01000890",1625,1583,22,4,3,15,1561,1546,12,3,0,42
"E01000891",1534,1529,84,16,6,62,1445,1302,115,28,0,5
"E01000892",1843,1803,430,35,187,208,1373,818,545,10,0,40
"E01000893",1566,1461,525,18,350,157,936,170,761,5,0,105
"E01000894",1376,1360,750,55,210,485,609,256,314,39,1,16
"E01000895",1629,1605,466,28,115,323,1139,841,172,126,0,24
"E01000896",1692,1659,739,93,247,399,920,229,643,48,0,33
"E01000897",1595,1563,344,59,197,88,1219,399,808,12,0,32
"E01000898",1688,1602,378,64,120,194,1224,1001,202,21,0,86
"E01000899",1606,1606,918,162,378,378,685,360,311,14,3,0
"E01000900",1795,1785,659,30,63,566,1126,538,572,16,0,10
"E01000901",1821,1773,113,3,21,89,1660,1515,106,39,0,48
"E01000902",1451,1443,111,6,36,69,1332,1116,204,12,0,8
"E01000903",1418,1413,406,26,95,285,1007,392,594,21,0,5
"E01000904",2120,2120,402,15,72,315,1718,1521,147,50,0,0
"E01000905",1965,1929,66,16,18,32,1863,1737,103,23,0,36
