"GeographyCode","QS607EW0001","QS607EW0002","QS607EW0003","QS607EW0004","QS607EW0005","QS607EW0006","QS607EW0007","QS607EW0008","QS607EW0009","QS607EW0010","QS607EW0011","QS607EW0012","QS607EW0013","QS607EW0014","QS607EW0015","QS607EW0016","QS607EW0017","QS607EW0018","QS607EW0019","QS607EW0020","QS607EW0021","QS607EW0022","QS607EW0023","QS607EW0024","QS607EW0025","QS607EW0026","QS607EW0027","QS607EW0028","QS607EW0029","QS607EW0030","QS607EW0031","QS607EW0032","QS607EW0033","QS607EW0034","QS607EW0035","QS607EW0036","QS607EW0037","QS607EW0038","QS607EW0039","QS607EW0040","QS607EW0041","QS607EW0042","QS607EW0043","QS607EW0044","QS607EW0045","QS607EW0046","QS607EW0047","QS607EW0048","QS607EW0049","QS607EW0050","QS607EW0051","QS607EW0052","QS607EW0053","QS607EW0054","QS607EW0055"
"E01000842",1175,354,70,1,69,284,146,67,56,15,410,304,165,35,94,10,90,16,89,61,16,11,1,102,17,17,0,85,85,0,28,20,8,5,3,44,10,20,2,4,0,7,1,17,8,2,4,3,0,39,26,13,92,92,0
"E01000843",1299,350,51,1,50,299,175,64,46,14,412,312,162,41,102,7,84,16,94,67,17,10,0,102,20,20,0,82,82,0,39,28,11,11,0,63,21,28,0,2,0,10,2,52,23,2,7,20,0,88,68,20,99,99,0
"E01000844",1408,504,90,2,88,414,222,91,91,10,456,325,183,48,72,22,117,14,104,70,24,9,1,122,22,22,0,100,100,0,11,8,3,2,1,63,26,29,2,1,0,5,0,33,17,0,6,10,0,39,25,14,76,76,0
"E01000845",1166,322,67,2,65,255,139,59,48,9,403,273,157,28,84,4,114,16,89,57,24,8,0,97,22,22,0,75,74,1,15,10,5,5,0,50,17,20,1,4,0,6,2,34,20,0,5,9,0,54,43,11,102,102,0
"E01000846",1027,155,36,2,34,119,60,28,29,2,236,165,100,15,44,6,50,21,109,64,27,16,2,90,23,23,0,67,67,0,30,23,7,7,0,94,30,45,4,2,0,10,3,63,21,0,12,30,0,131,107,24,119,119,0
"E01000847",1171,224,44,1,43,180,93,43,40,4,281,198,119,20,55,4,64,19,98,50,40,8,0,125,32,31,1,93,90,3,35,24,11,11,0,89,28,44,5,3,0,9,0,56,18,1,14,23,0,150,125,25,113,113,0
"E01000848",1273,402,100,4,96,302,170,68,54,10,444,321,179,32,103,7,102,21,89,55,23,9,2,124,40,40,0,84,84,0,41,21,20,19,1,55,11,29,3,2,0,8,2,23,9,3,6,5,0,40,29,11,55,55,0
"E01000849",1274,406,61,1,60,345,218,82,35,10,412,301,159,29,101,12,98,13,121,94,19,6,2,85,18,18,0,67,67,0,26,17,9,9,0,53,22,16,1,2,0,11,1,32,19,2,3,8,0,39,28,11,100,100,0
"E01000850",1548,346,34,1,33,312,220,46,36,10,393,314,223,22,60,9,53,26,83,55,17,8,3,65,26,25,1,39,39,0,48,34,14,14,0,52,16,22,0,2,0,11,1,32,17,3,3,9,0,49,35,14,480,480,0
"E01000851",2206,314,48,0,48,266,157,56,39,14,366,273,155,29,75,14,77,16,98,60,22,14,2,105,38,38,0,67,67,0,38,28,10,9,1,75,22,40,0,2,0,11,0,39,23,0,2,14,0,54,40,14,1117,1117,0
"E01000852",1475,171,15,0,15,156,106,27,21,2,147,110,71,10,26,3,26,11,57,31,12,13,1,46,13,13,0,33,32,1,22,14,8,8,0,43,10,19,0,3,1,10,0,32,10,0,5,17,0,55,44,11,902,902,0
"E01000853",1231,164,17,0,17,147,94,22,26,5,256,166,121,7,36,2,71,19,127,83,25,18,1,87,15,15,0,72,72,0,54,38,16,15,1,127,41,50,6,0,0,24,6,80,20,3,24,33,0,130,96,34,206,206,0
"E01000854",1559,191,20,0,20,171,107,25,33,6,215,154,89,15,44,6,44,17,79,50,22,4,3,69,26,26,0,43,43,0,36,29,7,7,0,96,40,35,3,0,0,15,3,63,38,2,13,10,0,97,85,12,713,713,0
"E01000855",1623,381,41,0,41,340,224,75,30,11,530,432,296,37,93,6,77,21,121,82,16,20,3,87,17,17,0,70,70,0,51,40,11,11,0,74,15,32,2,0,0,22,3,46,21,0,7,18,0,51,37,14,282,282,0
"E01000856",1246,122,13,0,13,109,68,20,19,2,287,218,147,19,46,6,51,18,95,56,26,12,1,134,27,27,0,107,107,0,59,39,20,19,1,116,40,53,2,4,0,14,3,72,35,3,13,20,1,183,148,35,178,178,0
"E01000857",1122,264,43,5,38,221,128,43,44,6,368,273,138,24,103,8,78,17,87,55,20,12,0,131,52,52,0,79,79,0,31,23,8,8,0,72,25,28,4,3,0,10,2,45,14,5,12,14,0,51,43,8,73,73,0
"E01000858",1457,187,23,1,22,164,110,28,20,6,315,234,143,21,66,4,69,12,128,78,40,5,5,102,19,19,0,83,83,0,69,39,30,27,3,138,40,64,2,9,1,15,7,116,38,10,29,39,0,195,161,34,207,207,0
"E01000859",1289,376,86,4,82,290,151,56,67,16,487,346,161,37,140,8,115,26,60,39,13,6,2,158,53,53,0,105,105,0,22,18,4,3,1,51,19,17,3,3,0,8,1,31,16,1,6,8,0,38,17,21,66,66,0
"E01000860",1039,221,50,1,49,171,83,32,51,5,358,279,176,15,84,4,59,20,73,51,16,6,0,105,27,26,1,78,78,0,27,19,8,8,0,48,9,20,1,7,0,11,0,72,24,3,11,34,0,52,34,18,83,83,0
"E01000861",1339,190,14,1,13,176,97,39,33,7,349,262,159,29,69,5,64,23,98,53,33,11,1,106,25,25,0,81,79,2,55,39,16,15,1,88,29,37,3,1,0,16,2,80,27,6,22,24,1,93,77,16,280,280,0
"E01000862",1360,438,95,5,90,343,168,70,93,12,449,321,138,42,128,13,107,21,86,54,23,7,2,145,53,53,0,92,92,0,21,14,7,7,0,44,13,19,1,5,0,6,0,31,21,1,3,6,0,31,21,10,115,115,0
"E01000863",1290,261,33,2,31,228,121,66,33,8,357,246,119,21,99,7,89,22,91,59,12,19,1,103,26,26,0,77,77,0,44,32,12,12,0,81,25,38,3,4,0,11,0,62,22,3,19,18,0,83,52,31,208,208,0
"E01000864",1276,258,30,1,29,228,134,45,44,5,371,278,173,21,80,4,62,31,97,70,17,7,3,108,26,26,0,82,82,0,33,21,12,10,2,97,36,39,4,4,0,11,3,43,13,0,15,15,0,87,60,27,182,182,0
"E01000865",1330,174,27,2,25,147,91,20,32,4,274,219,118,29,69,3,44,11,53,40,7,6,0,81,24,24,0,57,57,0,23,16,7,7,0,38,17,13,1,1,0,5,1,36,13,1,13,9,0,36,24,12,615,615,0
"E01000866",1606,285,50,0,50,235,120,55,46,14,438,325,204,32,86,3,84,29,167,95,51,18,3,147,38,37,1,109,109,0,57,35,22,22,0,119,45,45,6,9,2,9,3,87,29,7,20,31,0,112,87,25,194,194,0
"E01000867",1225,145,12,0,12,133,76,43,11,3,267,198,131,18,39,10,46,23,111,61,35,14,1,86,20,20,0,66,66,0,66,39,27,25,2,91,31,36,1,2,2,15,4,78,27,2,17,31,1,135,117,18,246,246,0
"E01000868",1014,75,20,0,20,55,19,25,9,2,187,136,103,11,20,2,36,15,105,45,49,8,3,100,26,26,0,74,74,0,65,43,22,21,1,119,44,57,1,7,0,8,2,106,35,3,27,41,0,159,118,41,98,98,0
"E01000869",1733,325,43,2,41,282,161,64,44,13,509,379,221,28,117,13,99,31,134,81,37,12,4,132,27,27,0,105,104,1,44,30,14,11,3,117,40,46,6,6,0,16,3,77,31,7,10,28,1,119,93,26,276,276,0
"E01000870",1357,225,32,1,31,193,122,32,31,8,371,289,170,15,97,7,65,17,120,69,37,13,1,115,22,22,0,93,93,0,49,35,14,14,0,127,41,48,7,3,0,24,4,91,22,13,24,32,0,110,91,19,149,149,0
