"GeographyCode","QS413EW0001","QS413EW0002","QS413EW0003","QS413EW0004","QS413EW0005"
"E02000166",3537,788,1859,388,502
"E02000167",3629,886,1928,376,439
"E02000168",3535,610,1855,412,658
"E02000169",2942,817,1444,363,318
"E02000170",3685,711,2022,390,562
"E02000171",3502,699,1877,391,535
"E02000172",4186,634,2068,546,938
"E02000173",3569,680,1952,371,566
"E02000174",3822,585,2014,431,792
"E02000175",4277,681,2460,388,748
"E02000176",3261,684,1816,320,441
"E02000177",3865,605,1964,461,835
"E02000178",4280,675,2260,379,966
"E02000179",2870,577,1401,335,557
"E02000180",3394,498,1809,334,753
"E02000181",3657,738,1897,436,586
"E02000182",2963,728,1387,358,490
"E02000183",3881,782,2124,353,622
"E02000184",3655,557,1819,497,782
"E02000185",3938,622,2029,398,889
"E02000186",3099,524,1690,275,610
"E02000187",3290,472,1546,410,862
"E02000188",3170,443,1520,378,829
"E02000189",2253,245,1147,285,576
"E02000190",3181,407,1865,238,671
"E02000191",2868,468,1612,266,522
"E02000192",3375,484,1806,308,777
"E02000193",3850,606,2337,256,651
