"GeographyCode","QS415EW0001","QS415EW0002","QS415EW0003","QS415EW0004","QS415EW0005","QS415EW0006","QS415EW0007","QS415EW0008"
"E00004120",143,0,128,4,2,0,2,7
"E00004121",118,1,105,2,8,0,1,1
"E00004122",103,5,86,10,0,0,0,2
"E00004123",108,1,100,0,0,0,0,7
"E00004124",100,10,66,18,1,0,2,3
"E00004125",178,6,114,14,8,0,25,11
"E00004126",144,7,119,9,3,0,5,1
"E00004127",124,1,110,6,0,0,2,5
"E00004128",161,7,134,12,0,0,1,7
"E00004129",142,6,118,10,1,0,0,7
"E00004130",128,12,102,2,0,0,7,5
"E00004131",119,4,100,2,0,0,2,11
"E00004132",92,3,80,5,0,0,1,3
"E00004133",118,11,94,7,1,0,1,4
"E00004134",100,8,66,19,0,0,2,5
"E00004135",105,1,65,4,3,0,28,4
"E00004136",110,3,97,5,1,0,1,3
"E00004137",147,4,124,11,0,0,2,6
"E00004138",142,3,79,49,0,0,3,8
"E00004139",140,1,62,31,6,0,38,2
"E00004140",111,9,84,13,1,0,2,2
"E00004141",114,6,101,5,0,0,1,1
"E00004142",133,5,58,8,43,0,12,7
"E00004143",126,11,100,12,0,0,0,3
"E00004144",102,6,91,2,0,0,0,3
"E00004145",110,4,93,9,0,0,3,1
"E00004146",126,5,114,4,0,0,1,2
"E00004147",126,3,99,4,2,0,12,6
"E00004148",106,8,79,15,0,0,0,4
"E00004149",149,3,133,6,1,0,3,3
"E00004150",147,4,127,10,0,0,2,4
"E00004151",148,0,135,8,1,0,0,4
"E00004152",113,3,102,4,1,0,0,3
"E00004153",108,7,80,13,1,0,3,4
"E00004154",122,6,88,17,0,0,1,10
"E00004155",103,3,77,5,6,0,6,6
"E00004156",126,14,91,17,1,0,2,1
"E00004157",94,6,75,8,1,0,3,1
"E00004158",124,4,105,3,0,0,3,9
"E00004159",160,5,116,14,0,0,21,4
"E00004160",103,1,70,18,1,0,8,5
"E00004161",96,3,68,15,2,0,2,6
"E00004162",128,16,84,17,1,0,7,3
"E00004163",163,4,96,34,0,0,14,15
"E00004164",160,6,110,11,1,0,19,13
"E00004165",146,5,115,8,0,0,11,7
"E00004166",157,5,111,12,0,0,15,14
"E00004167",99,0,95,3,0,0,0,1
"E00004168",109,8,50,10,12,0,13,16
"E00004169",149,10,109,17,7,0,5,1
"E00004172",148,7,115,14,0,0,6,6
"E00004173",127,2,78,9,15,0,17,6
"E00004174",131,3,61,18,4,0,39,6
"E00004175",128,4,79,7,0,0,32,6
"E00004177",74,2,32,10,14,0,14,2
"E00004179",190,2,65,35,10,0,71,7
"E00004180",128,8,93,10,5,0,6,6
"E00004181",212,3,66,63,9,0,70,1
"E00004182",76,3,65,3,1,0,4,0
"E00004183",106,3,92,4,0,0,4,3
"E00004184",112,3,87,10,0,0,9,3
"E00004185",171,5,103,33,0,0,16,14
"E00004187",226,10,135,55,0,0,15,11
"E00004188",109,4,56,17,11,0,21,0
"E00004189",118,6,56,30,1,0,24,1
"E00004190",384,3,94,23,173,0,81,10
"E00004193",119,4,91,14,1,0,8,1
"E00004194",144,10,100,23,2,0,1,8
"E00004195",133,16,68,40,0,0,4,5
"E00004196",101,12,74,12,0,0,3,0
"E00004197",116,12,73,18,3,0,9,1
"E00004198",182,22,99,51,0,0,2,8
"E00004199",163,13,114,29,0,0,2,5
"E00004200",136,5,116,14,0,0,1,0
"E00004201",144,9,115,12,0,0,2,6
"E00004202",160,3,88,23,19,0,26,1
"E00004203",164,9,120,23,1,0,2,9
"E00004204",149,4,108,18,4,0,13,2
"E00004205",145,2,100,35,0,0,2,6
"E00004206",127,1,102,6,1,0,13,4
"E00004207",128,7,92,10,0,0,2,17
"E00004208",125,0,109,4,1,0,3,8
"E00004209",113,7,78,14,1,0,10,3
"E00004210",126,0,104,6,0,0,8,8
"E00004211",124,0,108,3,0,0,0,13
"E00004212",134,3,116,9,0,0,0,6
"E00004213",167,7,97,48,0,0,7,8
"E00004214",243,5,101,82,2,0,46,7
"E00004215",129,3,110,7,0,0,2,7
"E00004216",146,3,128,8,0,0,1,6
"E00004217",141,6,117,8,0,0,5,5
"E00004218",131,2,119,3,0,0,3,4
"E00004219",190,13,142,16,6,0,9,4
"E00004220",87,0,76,6,0,0,1,4
"E00004221",111,1,95,9,0,0,1,5
"E00004222",109,5,84,14,0,0,3,3
"E00004223",116,1,97,8,0,0,2,8
"E00004224",147,13,113,12,1,0,2,6
"E00004225",195,13,125,35,3,0,13,6
"E00004226",119,8,86,21,0,0,2,2
"E00004227",145,2,121,6,2,0,12,2
"E00004228",107,6,90,8,0,0,0,3
"E00004229",174,10,66,80,2,0,14,2
"E00004230",130,5,120,2,0,0,1,2
"E00004231",142,3,123,9,0,0,1,6
"E00004232",132,0,95,12,6,0,17,2
"E00004233",124,3,107,5,0,0,2,7
"E00004234",124,5,111,4,0,0,1,3
"E00004235",163,8,80,54,1,0,3,17
"E00004236",150,14,111,18,0,0,4,3
"E00004237",123,27,78,6,1,0,7,4
"E00004238",126,0,107,6,3,0,6,4
"E00004239",111,1,101,3,0,0,2,4
"E00004240",136,5,91,26,1,0,4,9
"E00004241",133,4,114,6,1,0,1,7
"E00004242",105,6,70,13,4,0,11,1
"E00004243",110,4,92,6,1,0,0,7
"E00004244",100,0,59,6,3,0,26,6
"E00004245",163,1,145,7,0,0,3,7
"E00004246",121,2,107,7,0,0,1,4
"E00004247",156,12,127,9,2,0,3,3
"E00004248",207,7,141,28,4,0,15,12
"E00004249",114,5,100,3,0,0,4,2
"E00004250",127,1,120,3,0,0,0,3
"E00004251",95,0,89,4,0,0,0,2
"E00004252",115,7,96,5,0,0,3,4
"E00004253",132,4,110,10,0,0,5,3
"E00004254",119,1,83,6,1,0,18,10
"E00004255",128,2,106,8,0,0,6,6
"E00004256",149,0,114,11,2,0,12,10
"E00004257",113,6,99,4,1,0,0,3
"E00004258",111,4,99,4,0,0,1,3
"E00004259",104,3,79,5,0,0,9,8
"E00004260",136,3,56,27,4,0,44,2
"E00004261",114,9,80,12,0,0,2,11
"E00004262",114,2,68,6,2,0,35,1
"E00004263",121,8,71,1,2,0,33,6
"E00004264",176,4,151,8,0,0,5,8
"E00004265",112,3,96,3,0,0,4,6
"E00004266",156,2,144,1,0,0,3,6
