"GeographyCode","QS419EW0001","QS419EW0002","QS419EW0003","QS419EW0004"
"E01000842",76,62,13,1
"E01000843",0,0,0,0
"E01000844",0,0,0,0
"E01000845",20,20,0,0
"E01000846",2,2,0,0
"E01000847",2,0,2,0
"E01000848",8,8,0,0
"E01000849",0,0,0,0
"E01000850",413,406,7,0
"E01000851",738,734,3,1
"E01000852",611,594,14,3
"E01000853",35,28,6,1
"E01000854",190,189,1,0
"E01000855",50,13,37,0
"E01000856",0,0,0,0
"E01000857",4,4,0,0
"E01000858",0,0,0,0
"E01000859",0,0,0,0
"E01000860",0,0,0,0
"E01000861",0,0,0,0
"E01000862",0,0,0,0
"E01000863",98,97,1,0
"E01000864",0,0,0,0
"E01000865",528,526,0,2
"E01000866",0,0,0,0
"E01000867",0,0,0,0
"E01000868",0,0,0,0
"E01000869",12,12,0,0
"E01000870",0,0,0,0
"E01000871",11,11,0,0
"E01000872",6,6,0,0
"E01000873",0,0,0,0
"E01000874",0,0,0,0
"E01000875",8,8,0,0
"E01000876",0,0,0,0
"E01000877",28,28,0,0
"E01000878",378,367,9,2
"E01000879",153,144,7,2
"E01000880",44,27,15,2
"E01000881",59,50,9,0
"E01000882",1,0,1,0
"E01000883",7,4,3,0
"E01000884",7,7,0,0
"E01000885",74,72,2,0
"E01000886",0,0,0,0
"E01000887",8,8,0,0
"E01000888",0,0,0,0
"E01000889",0,0,0,0
"E01000890",15,15,0,0
"E01000891",41,30,11,0
"E01000892",0,0,0,0
"E01000893",0,0,0,0
"E01000894",13,6,7,0
"E01000895",1,0,1,0
"E01000896",0,0,0,0
"E01000897",2,2,0,0
"E01000898",41,33,2,6
"E01000899",61,57,3,1
"E01000900",6,6,0,0
"E01000901",156,155,0,1
"E01000902",0,0,0,0
"E01000903",21,20,1,0
"E01000904",0,0,0,0
"E01000905",79,78,0,1
"E01000906",0,0,0,0
"E01000907",0,0,0,0
"E01000908",0,0,0,0
"E01000909",0,0,0,0
"E01000910",0,0,0,0
"E01000911",10,10,0,0
"E01000912",0,0,0,0
"E01000913",8,8,0,0
"E01000914",9,9,0,0
"E01000915",0,0,0,0
"E01000916",78,77,1,0
"E01000917",33,33,0,0
"E01000918",205,201,4,0
"E01000919",356,353,3,0
"E01000920",25,23,2,0
"E01000921",3,3,0,0
"E01000922",10,10,0,0
"E01000923",58,47,3,8
"E01000924",0,0,0,0
"E01000925",11,11,0,0
"E01000926",0,0,0,0
"E01000927",6,6,0,0
"E01000928",61,60,0,1
"E01000929",0,0,0,0
"E01000930",0,0,0,0
"E01000931",8,6,0,2
"E01000932",13,13,0,0
"E01000933",0,0,0,0
"E01000934",77,75,0,2
"E01000935",0,0,0,0
"E01000936",479,474,5,0
"E01000937",561,529,4,28
"E01000938",26,26,0,0
"E01000939",26,25,0,1
"E01000940",6,6,0,0
"E01000941",27,27,0,0
"E01000942",930,923,5,2
"E01000943",63,63,0,0
"E01000944",0,0,0,0
"E01000945",328,327,0,1
"E01000946",41,41,0,0
"E01000947",29,29,0,0
"E01000948",28,28,0,0
"E01000949",55,53,2,0
"E01000950",0,0,0,0
"E01000951",0,0,0,0
"E01000952",1,1,0,0
"E01000953",0,0,0,0
"E01000954",0,0,0,0
"E01000955",90,90,0,0
"E01000956",0,0,0,0
"E01000957",0,0,0,0
"E01000958",156,154,2,0
"E01000959",0,0,0,0
"E01000960",0,0,0,0
"E01000961",0,0,0,0
"E01000962",0,0,0,0
"E01000963",59,59,0,0
"E01000964",0,0,0,0
"E01000965",0,0,0,0
"E01000966",4,4,0,0
"E01000967",0,0,0,0
"E01000968",1,0,0,1
"E01000969",0,0,0,0
"E01000970",0,0,0,0
"E01000971",0,0,0,0
"E01000972",0,0,0,0
"E01000973",2,2,0,0
"E01000974",5,5,0,0
