"GeographyCode","QS116EW0001","QS116EW0002","QS116EW0003","QS116EW0004","QS116EW0005","QS116EW0006","QS116EW0007","QS116EW0008","QS116EW0009","QS116EW0010","QS116EW0011","QS116EW0012"
"E02000166",3537,1306,474,603,0,12,94,309,311,183,11,234
"E02000167",3629,1380,665,729,2,31,82,361,121,78,3,177
"E02000168",3535,1274,476,513,2,17,120,398,260,150,18,307
"E02000169",2942,969,639,662,1,15,72,194,126,92,11,161
"E02000170",3685,1301,547,594,1,12,72,399,198,107,20,434
"E02000171",3502,1310,505,473,0,19,109,363,241,155,28,299
"E02000172",4186,1559,470,442,1,36,133,303,565,266,81,330
"E02000173",3569,1447,556,565,1,20,59,369,113,106,26,307
"E02000174",3822,1437,355,374,1,21,138,433,367,191,50,455
"E02000175",4277,1724,426,554,0,18,76,515,252,137,29,546
"E02000176",3261,1516,445,491,0,24,55,356,82,61,11,220
"E02000177",3865,1400,434,456,1,15,83,338,457,248,49,384
"E02000178",4280,1828,323,457,0,8,81,517,391,169,48,458
"E02000179",2870,1147,430,359,2,14,66,259,273,112,13,195
"E02000180",3394,1269,343,363,0,15,103,357,299,144,101,400
"E02000181",3657,1345,466,532,0,24,72,505,157,124,28,404
"E02000182",2963,1054,500,518,0,13,58,203,188,127,49,253
"E02000183",3881,1776,464,545,0,13,94,393,205,114,27,250
"E02000184",3655,1284,423,343,0,22,75,331,399,209,197,372
"E02000185",3938,1792,456,414,0,7,67,294,394,190,29,295
"E02000186",3099,1273,264,359,0,20,56,346,184,127,125,345
"E02000187",3290,1221,455,341,1,3,78,188,431,201,179,192
"E02000188",3170,1164,416,292,1,16,68,172,342,187,268,244
"E02000189",2253,908,238,214,0,24,38,156,282,103,122,168
"E02000190",3181,1747,208,254,1,23,40,210,221,104,177,196
"E02000191",2868,1445,152,265,0,38,18,236,104,50,286,274
"E02000192",3375,1506,320,312,1,41,73,338,277,155,100,252
"E02000193",3850,2149,196,360,2,38,35,291,122,102,213,342
