"GeographyCode","QS416EW0001","QS416EW0002","QS416EW0003","QS416EW0004","QS416EW0005","QS416EW0006","QS416EW0007"
"E00004120",143,71,56,15,1,0,89
"E00004121",118,52,50,14,2,0,84
"E00004122",103,38,44,20,0,1,92
"E00004123",108,17,49,31,9,2,146
"E00004124",100,53,41,3,2,1,58
"E00004125",178,135,38,5,0,0,48
"E00004126",144,78,56,8,1,1,79
"E00004127",124,78,41,5,0,0,51
"E00004128",161,74,81,5,1,0,94
"E00004129",142,83,51,6,2,0,69
"E00004130",128,82,40,6,0,0,52
"E00004131",119,40,64,14,1,0,95
"E00004132",92,40,44,8,0,0,60
"E00004133",118,72,35,10,1,0,58
"E00004134",100,48,41,10,1,0,64
"E00004135",105,78,24,3,0,0,30
"E00004136",110,54,45,9,0,2,75
"E00004137",147,81,54,12,0,0,78
"E00004138",142,91,46,5,0,0,56
"E00004139",140,120,20,0,0,0,20
"E00004140",111,47,54,8,2,0,76
"E00004141",114,69,38,6,0,1,54
"E00004142",133,70,61,0,2,0,67
"E00004143",126,70,44,11,1,0,69
"E00004144",102,43,52,7,0,0,66
"E00004145",110,58,42,8,2,0,64
"E00004146",126,64,57,5,0,0,67
"E00004147",126,66,53,4,2,1,71
"E00004148",106,48,47,9,2,0,71
"E00004149",149,51,77,16,5,0,124
"E00004150",147,90,46,9,2,0,70
"E00004151",148,83,55,7,1,2,80
"E00004152",113,38,56,15,4,0,98
"E00004153",108,59,43,5,1,0,56
"E00004154",122,59,48,14,0,1,89
"E00004155",103,39,50,14,0,0,78
"E00004156",126,72,40,13,0,1,70
"E00004157",94,35,47,10,2,0,73
"E00004158",124,67,54,2,1,0,61
"E00004159",160,103,49,7,1,0,66
"E00004160",103,66,32,5,0,0,42
"E00004161",96,42,37,14,1,2,76
"E00004162",128,82,40,6,0,0,52
"E00004163",163,68,77,13,3,2,120
"E00004164",160,112,38,9,1,0,59
"E00004165",146,94,42,8,1,1,67
"E00004166",157,108,43,3,1,2,60
"E00004167",99,16,56,15,11,1,123
"E00004168",109,50,54,4,1,0,65
"E00004169",149,112,33,4,0,0,41
"E00004172",148,112,33,3,0,0,39
"E00004173",127,107,19,1,0,0,21
"E00004174",131,113,15,2,1,0,22
"E00004175",128,113,13,0,2,0,19
"E00004177",74,66,7,1,0,0,9
"E00004179",190,158,29,3,0,0,35
"E00004180",128,106,19,3,0,0,25
"E00004181",212,184,23,5,0,0,33
"E00004182",76,53,21,2,0,0,25
"E00004183",106,86,17,3,0,0,23
