"GeographyCode","KS104EW0001","KS104EW0002","KS104EW0003","KS104EW0004","KS104EW0005","KS104EW0006","KS104EW0007","KS104EW0008","KS104EW0009","KS104EW0010","KS104EW0011","KS104EW0012","KS104EW0013","KS104EW0014","KS104EW0015"
"E00004120",245,98,40,70,10,3,16,8,40,16.3265306122449,28.5714285714286,4.08163265306122,1.22448979591837,6.53061224489796,3.26530612244898
"E00004121",206,104,20,58,4,1,11,8,50.4854368932039,9.70873786407767,28.1553398058252,1.94174757281553,0.485436893203883,5.33980582524272,3.88349514563107
"E00004122",182,82,28,48,8,3,6,7,45.0549450549451,15.3846153846154,26.3736263736264,4.3956043956044,1.64835164835165,3.2967032967033,3.84615384615385
"E00004123",232,114,28,64,2,3,14,7,49.1379310344828,12.0689655172414,27.5862068965517,0.862068965517241,1.29310344827586,6.03448275862069,3.01724137931034
"E00004124",147,56,12,60,3,1,9,6,38.0952380952381,8.16326530612245,40.8163265306122,2.04081632653061,0.680272108843537,6.12244897959184,4.08163265306122
"E00004125",252,46,30,129,6,8,24,9,18.2539682539683,11.9047619047619,51.1904761904762,2.38095238095238,3.17460317460317,9.52380952380952,3.57142857142857
"E00004126",237,84,46,69,6,6,17,9,35.4430379746835,19.4092827004219,29.1139240506329,2.53164556962025,2.53164556962025,7.17299578059072,3.79746835443038
"E00004127",227,60,30,101,8,7,14,7,26.431718061674,13.215859030837,44.4933920704846,3.52422907488987,3.08370044052863,6.16740088105727,3.08370044052863
"E00004128",254,90,40,91,4,3,17,9,35.4330708661417,15.748031496063,35.8267716535433,1.5748031496063,1.18110236220472,6.69291338582677,3.54330708661417
"E00004129",243,84,50,88,1,2,9,9,34.5679012345679,20.5761316872428,36.2139917695473,0.411522633744856,0.823045267489712,3.7037037037037,3.7037037037037
"E00004130",231,68,28,116,5,4,4,6,29.4372294372294,12.1212121212121,50.2164502164502,2.16450216450216,1.73160173160173,1.73160173160173,2.5974025974026
"E00004131",228,106,30,56,17,2,9,8,46.4912280701754,13.1578947368421,24.5614035087719,7.45614035087719,0.87719298245614,3.94736842105263,3.50877192982456
"E00004132",158,56,39,47,3,1,9,3,35.4430379746835,24.6835443037975,29.746835443038,1.89873417721519,0.632911392405063,5.69620253164557,1.89873417721519
"E00004133",208,78,22,79,6,3,11,9,37.5,10.5769230769231,37.9807692307692,2.88461538461538,1.44230769230769,5.28846153846154,4.32692307692308
"E00004134",166,66,16,66,5,1,11,1,39.7590361445783,9.63855421686747,39.7590361445783,3.01204819277108,0.602409638554217,6.62650602409639,0.602409638554217
"E00004135",139,22,26,68,7,6,9,1,15.8273381294964,18.705035971223,48.9208633093525,5.03597122302158,4.31654676258993,6.47482014388489,0.719424460431655
"E00004136",190,56,34,79,4,3,10,4,29.4736842105263,17.8947368421053,41.5789473684211,2.10526315789474,1.57894736842105,5.26315789473684,2.10526315789474
"E00004137",236,98,36,56,13,4,19,10,41.5254237288136,15.2542372881356,23.728813559322,5.50847457627119,1.69491525423729,8.05084745762712,4.23728813559322
"E00004138",196,70,22,67,3,6,23,5,35.7142857142857,11.2244897959184,34.1836734693878,1.53061224489796,3.06122448979592,11.734693877551,2.55102040816327
"E00004139",209,70,28,66,13,18,11,3,33.4928229665072,13.3971291866029,31.5789473684211,6.2200956937799,8.61244019138756,5.26315789473684,1.43540669856459
"E00004140",182,72,32,53,3,2,11,9,39.5604395604396,17.5824175824176,29.1208791208791,1.64835164835165,1.0989010989011,6.04395604395604,4.94505494505495
"E00004141",171,46,28,70,4,5,10,8,26.9005847953216,16.374269005848,40.9356725146199,2.33918128654971,2.92397660818713,5.84795321637427,4.67836257309941
"E00004142",210,64,22,101,7,1,10,5,30.4761904761905,10.4761904761905,48.0952380952381,3.33333333333333,0.476190476190476,4.76190476190476,2.38095238095238
"E00004143",200,74,42,61,5,2,14,2,37,21,30.5,2.5,1,7,1
"E00004144",184,72,34,54,6,0,11,7,39.1304347826087,18.4782608695652,29.3478260869565,3.26086956521739,0,5.97826086956522,3.80434782608696
"E00004145",178,74,28,56,3,3,12,2,41.5730337078652,15.7303370786517,31.4606741573034,1.68539325842697,1.68539325842697,6.74157303370786,1.12359550561798
"E00004146",222,44,62,82,10,7,13,4,19.8198198198198,27.9279279279279,36.9369369369369,4.5045045045045,3.15315315315315,5.85585585585586,1.8018018018018
"E00004147",203,62,50,66,1,1,18,5,30.5418719211823,24.6305418719212,32.512315270936,0.492610837438424,0.492610837438424,8.86699507389163,2.46305418719212
"E00004148",151,40,14,57,5,3,19,13,26.4900662251656,9.27152317880795,37.7483443708609,3.3112582781457,1.98675496688742,12.5827814569536,8.60927152317881
"E00004149",271,112,38,94,5,1,11,10,41.3284132841328,14.0221402214022,34.6863468634686,1.8450184501845,0.3690036900369,4.0590405904059,3.690036900369
"E00004150",270,80,38,134,4,1,10,3,29.6296296296296,14.0740740740741,49.6296296296296,1.48148148148148,0.37037037037037,3.7037037037037,1.11111111111111
"E00004151",237,72,56,78,4,2,17,8,30.379746835443,23.6286919831224,32.9113924050633,1.68776371308017,0.843881856540084,7.17299578059072,3.37552742616034
"E00004152",195,90,22,58,6,4,9,6,46.1538461538462,11.2820512820513,29.7435897435897,3.07692307692308,2.05128205128205,4.61538461538462,3.07692307692308
"E00004153",180,44,34,70,11,3,11,7,24.4444444444444,18.8888888888889,38.8888888888889,6.11111111111111,1.66666666666667,6.11111111111111,3.88888888888889
"E00004154",212,88,34,58,13,5,13,1,41.5094339622642,16.0377358490566,27.3584905660377,6.13207547169811,2.35849056603774,6.13207547169811,0.471698113207547
