"GeographyCode","QS303EW0001","QS303EW0002","QS303EW0003","QS303EW0004"
"E00004120",314,7,14,293
"E00004121",250,11,24,215
"E00004122",236,7,9,220
"E00004123",296,9,7,280
"E00004124",176,7,9,160
"E00004125",268,12,21,235
"E00004126",274,8,20,246
"E00004127",265,13,13,239
"E00004128",293,16,19,258
"E00004129",265,14,19,232
"E00004130",268,11,12,245
"E00004131",280,10,8,262
"E00004132",204,4,2,198
"E00004133",255,12,11,232
"E00004134",188,12,9,167
"E00004135",143,9,9,125
"E00004136",228,9,7,212
"E00004137",272,13,16,243
"E00004138",225,13,18,194
"E00004139",333,21,16,296
"E00004140",206,9,11,186
"E00004141",188,21,22,145
"E00004142",237,6,14,217
"E00004143",242,19,15,208
"E00004144",230,6,9,215
"E00004145",256,15,8,233
"E00004146",249,10,11,228
"E00004147",225,5,10,210
"E00004148",175,6,10,159
"E00004149",337,25,10,302
"E00004150",304,10,8,286
"E00004151",261,8,6,247
"E00004152",243,6,14,223
"E00004153",206,12,8,186
"E00004154",255,7,8,240
"E00004155",250,5,16,229
"E00004156",223,9,10,204
"E00004157",226,4,7,215
"E00004158",284,33,25,226
"E00004159",394,40,36,318
"E00004160",214,33,27,154
"E00004161",201,8,6,187
"E00004162",248,7,11,230
"E00004163",393,19,22,352
"E00004164",383,37,37,309
"E00004165",345,23,35,287
"E00004166",416,49,37,330
"E00004167",284,16,12,256
"E00004168",194,13,14,167
"E00004169",317,12,39,266
"E00004172",229,22,14,193
"E00004173",609,32,42,535
"E00004174",274,21,22,231
"E00004175",289,46,35,208
"E00004177",296,2,15,279
"E00004179",327,65,50,212
"E00004180",283,9,20,254
"E00004181",355,68,56,231
"E00004182",180,10,11,159
"E00004183",197,20,24,153
"E00004184",210,22,24,164
"E00004185",413,25,26,362
"E00004187",488,25,23,440
"E00004188",182,7,13,162
"E00004189",317,2,6,309
"E00004190",471,16,42,413
"E00004193",657,15,28,614
"E00004194",252,8,12,232
"E00004195",311,12,13,286
"E00004196",211,21,19,171
"E00004197",257,12,16,229
"E00004198",350,9,17,324
"E00004199",286,15,20,251
"E00004200",248,12,15,221
"E00004201",272,10,15,247
"E00004202",171,36,39,96
"E00004203",319,15,16,288
"E00004204",277,12,16,249
"E00004205",373,12,18,343
"E00004206",310,30,37,243
"E00004207",365,39,34,292
"E00004208",303,34,30,239
"E00004209",271,36,15,220
"E00004210",323,38,34,251
"E00004211",306,16,19,271
"E00004212",330,15,18,297
"E00004213",456,50,39,367
"E00004214",521,47,39,435
"E00004215",269,9,13,247
"E00004216",299,8,17,274
"E00004217",244,15,16,213
"E00004218",305,37,30,238
"E00004219",366,12,28,326
"E00004220",170,28,25,117
"E00004221",232,8,13,211
"E00004222",215,13,22,180
"E00004223",321,41,31,249
"E00004224",280,8,12,260
"E00004225",463,48,53,362
"E00004226",256,9,13,234
"E00004227",271,20,21,230
"E00004228",204,9,12,183
"E00004229",318,15,14,289
"E00004230",283,22,23,238
"E00004231",328,7,14,307
"E00004232",202,17,24,161
"E00004233",231,22,23,186
"E00004234",242,6,9,227
"E00004235",326,15,23,288
"E00004236",329,24,33,272
"E00004237",267,17,22,228
"E00004238",290,13,24,253
"E00004239",215,24,21,170
"E00004240",329,29,35,265
"E00004241",295,11,17,267
"E00004242",176,5,10,161
"E00004243",290,5,15,270
"E00004244",292,31,42,219
"E00004245",317,50,25,242
"E00004246",792,17,19,756
"E00004247",314,35,28,251
"E00004248",446,38,28,380
"E00004249",226,16,13,197
"E00004250",271,12,21,238
"E00004251",231,6,8,217
"E00004252",252,20,13,219
"E00004253",296,28,26,242
"E00004254",315,21,29,265
"E00004255",282,15,26,241
"E00004256",361,37,30,294
"E00004257",264,18,26,220
"E00004258",236,5,16,215
"E00004259",328,37,35,256
"E00004260",220,23,18,179
"E00004261",275,19,25,231
"E00004262",281,45,31,205
"E00004263",385,34,28,323
"E00004264",348,18,20,310
"E00004265",234,18,26,190
"E00004266",345,44,32,269
"E00004268",319,40,25,254
"E00004269",231,33,21,177
"E00004270",448,15,32,401
"E00004271",328,21,28,279
"E00004272",273,18,17,238
"E00004273",364,21,16,327
"E00004274",291,18,14,259
