"GeographyCode","QS301EW0001","QS301EW0002","QS301EW0003","QS301EW0004","QS301EW0005"
"E02000166",7924,7055,600,114,155
"E02000167",7944,7298,506,51,89
"E02000168",8172,7415,575,56,126
"E02000169",7637,7096,411,53,77
"E02000170",8338,7742,419,73,104
"E02000171",7818,7129,488,89,112
"E02000172",10147,9185,572,157,233
"E02000173",7675,7151,393,47,84
"E02000174",8714,7954,484,116,160
"E02000175",8848,8247,400,92,109
"E02000176",6373,6002,284,36,51
"E02000177",8948,8166,488,117,177
"E02000178",8857,8177,403,122,155
"E02000179",6329,5866,309,69,85
"E02000180",8202,7558,425,107,112
"E02000181",7708,7228,350,58,72
"E02000182",6697,6213,319,70,95
"E02000183",7913,7175,531,104,103
"E02000184",8882,8123,469,112,178
"E02000185",8290,7625,403,118,144
"E02000186",6687,6195,328,78,86
"E02000187",8155,7404,412,135,204
"E02000188",8322,7666,364,130,162
"E02000189",5944,5539,243,65,97
"E02000190",7530,7054,323,52,101
"E02000191",7497,7076,328,38,55
"E02000192",7157,6577,346,111,123
"E02000193",7630,7116,378,67,69
