"GeographyCode","QS502EW0001","QS502EW0002","QS502EW0003","QS502EW0004","QS502EW0005","QS502EW0006","QS502EW0007","QS502EW0008","QS502EW0009","QS502EW0010","QS502EW0011","QS502EW0012","QS502EW0013","QS502EW0014"
"E00004120",273,7,52,8,131,11,1,113,4,190,5,67,42,95
"E00004121",206,7,51,5,97,12,0,81,7,121,2,77,30,64
"E00004122",182,7,33,5,91,8,2,73,9,115,1,48,21,57
"E00004123",232,18,60,8,108,11,5,93,4,121,6,57,25,52
"E00004124",147,2,23,3,79,8,3,60,8,87,2,35,21,39
"E00004125",252,7,52,5,124,5,4,102,6,170,7,73,43,65
"E00004126",237,17,57,9,99,7,4,91,8,135,5,60,31,67
"E00004127",227,26,55,11,99,10,4,95,11,122,1,48,29,55
"E00004128",254,14,46,8,114,4,3,109,4,157,5,75,20,84
"E00004129",243,16,53,1,111,7,4,90,12,145,5,66,31,74
"E00004130",231,13,39,12,103,13,8,91,6,138,5,47,32,64
"E00004131",228,26,36,2,98,2,4,86,3,131,2,52,20,69
"E00004132",166,10,40,5,88,1,3,75,7,114,3,34,16,31
"E00004133",208,14,37,7,103,11,2,87,6,127,2,48,30,54
"E00004134",166,9,51,2,87,3,1,77,2,107,4,52,15,36
"E00004135",139,6,36,3,65,5,5,56,5,93,5,34,24,31
"E00004136",190,7,47,2,99,7,2,99,6,131,5,61,32,56
"E00004137",236,18,49,1,101,1,4,93,6,141,9,63,29,72
"E00004138",196,16,37,7,79,13,0,62,1,99,2,46,22,58
"E00004139",209,52,49,29,38,18,5,33,12,38,3,19,25,46
"E00004140",182,4,40,4,88,8,2,70,7,117,4,46,38,62
"E00004141",171,14,36,2,67,10,1,67,8,96,5,43,25,44
"E00004142",210,7,42,2,98,3,2,84,5,135,1,57,28,84
"E00004143",200,12,36,3,92,4,3,87,3,136,1,55,28,67
"E00004144",184,8,48,3,98,8,4,91,5,128,4,51,24,46
"E00004145",226,12,44,7,86,12,9,81,15,129,8,51,28,79
"E00004146",222,14,58,10,119,13,1,103,4,145,3,62,31,59
"E00004147",203,8,47,8,113,8,3,106,6,122,8,66,26,58
"E00004148",151,2,36,3,83,1,6,63,6,88,6,39,19,42
"E00004149",291,32,65,4,139,6,2,128,4,175,7,81,25,73
"E00004150",270,5,39,3,132,3,1,113,7,198,6,101,25,96
"E00004151",237,2,61,4,128,6,2,114,10,172,6,76,32,66
"E00004152",195,8,30,2,107,4,2,89,1,126,1,49,22,71
"E00004153",180,7,43,3,66,12,6,56,11,97,6,40,15,53
"E00004154",212,2,60,6,99,6,4,96,3,134,2,61,23,75
"E00004155",198,8,47,2,101,5,9,79,7,122,0,42,23,73
"E00004156",184,11,28,2,82,8,6,85,9,118,3,57,20,58
"E00004157",185,2,38,4,104,3,6,80,9,114,5,44,23,57
"E00004158",223,39,74,14,72,13,1,70,12,77,0,22,26,37
"E00004159",278,69,70,18,76,34,7,53,16,56,10,17,29,54
"E00004160",167,46,40,10,43,14,4,28,13,37,5,20,21,32
"E00004161",174,4,45,4,92,3,0,87,9,111,4,59,23,43
"E00004162",213,23,49,3,108,6,0,89,3,134,4,50,21,64
"E00004163",299,23,64,10,119,15,1,95,7,158,4,67,29,83
"E00004164",286,71,63,13,59,24,5,45,12,64,11,25,27,53
