"GeographyCode","KS612EW0001","KS612EW0002","KS612EW0003","KS612EW0004","KS612EW0005","KS612EW0006","KS612EW0007","KS612EW0008","KS612EW0009","KS612EW0010","KS612EW0011","KS612EW0012","KS612EW0013","KS612EW0014","KS612EW0015","KS612EW0016","KS612EW0017","KS612EW0018","KS612EW0019","KS612EW0020","KS612EW0021","KS612EW0022","KS612EW0023","KS612EW0024","KS612EW0025","KS612EW0026","KS612EW0027","KS612EW0028","KS612EW0029","KS612EW0030","KS612EW0031"
"E01000842",559,198,44,154,189,27,51,23,19,9,16,9,7,27,27,0,35.4203935599284,7.87119856887299,27.5491949910555,33.8103756708408,4.83005366726297,9.12343470483005,4.11449016100179,3.39892665474061,1.61001788908766,2.86225402504472,1.61001788908766,1.25223613595707,4.83005366726297,4.83005366726297,0
"E01000843",601,204,34,170,182,23,51,23,29,23,24,19,5,42,42,0,33.9434276206323,5.65723793677205,28.2861896838602,30.2828618968386,3.82695507487521,8.48585690515807,3.82695507487521,4.82529118136439,3.82695507487521,3.99334442595674,3.16139767054908,0.831946755407654,6.98835274542429,6.98835274542429,0
"E01000844",698,284,62,222,224,23,67,6,29,11,16,9,7,38,38,0,40.6876790830946,8.88252148997135,31.8051575931232,32.0916905444126,3.29512893982808,9.59885386819484,0.859598853868195,4.15472779369628,1.57593123209169,2.29226361031519,1.28939828080229,1.00286532951289,5.44412607449857,5.44412607449857,0
"E01000845",545,179,35,144,174,30,52,11,21,18,19,12,7,41,41,0,32.8440366972477,6.42201834862385,26.4220183486239,31.9266055045872,5.5045871559633,9.54128440366972,2.01834862385321,3.85321100917431,3.30275229357798,3.48623853211009,2.20183486238532,1.28440366972477,7.52293577981651,7.52293577981651,0
"E01000846",484,78,22,56,120,38,62,17,40,34,35,23,12,60,60,0,16.1157024793388,4.54545454545455,11.5702479338843,24.7933884297521,7.85123966942149,12.8099173553719,3.51239669421488,8.26446280991736,7.02479338842975,7.23140495867769,4.75206611570248,2.47933884297521,12.396694214876,12.396694214876,0
"E01000847",575,143,34,109,131,32,83,23,42,31,44,31,13,46,46,0,24.8695652173913,5.91304347826087,18.9565217391304,22.7826086956522,5.56521739130435,14.4347826086957,4,7.30434782608696,5.39130434782609,7.65217391304348,5.39130434782609,2.26086956521739,8,8,0
"E01000848",625,212,67,145,214,29,60,29,23,13,19,16,3,26,26,0,33.92,10.72,23.2,34.24,4.64,9.6,4.64,3.68,2.08,3.04,2.56,0.48,4.16,4.16,0
"E01000849",600,217,32,185,195,32,49,17,20,13,13,3,10,44,44,0,36.1666666666667,5.33333333333333,30.8333333333333,32.5,5.33333333333333,8.16666666666667,2.83333333333333,3.33333333333333,2.16666666666667,2.16666666666667,0.5,1.66666666666667,7.33333333333333,7.33333333333333,0
"E01000850",847,239,24,215,215,32,47,25,20,18,23,14,9,228,228,0,28.2172373081464,2.83353010625738,25.383707201889,25.383707201889,3.77804014167651,5.54899645808737,2.95159386068477,2.36127508854782,2.12514757969303,2.71546635182999,1.65289256198347,1.06257378984652,26.9185360094451,26.9185360094451,0
"E01000851",1232,225,33,192,217,37,73,28,34,16,18,10,8,584,584,0,18.262987012987,2.67857142857143,15.5844155844156,17.6136363636364,3.00324675324675,5.92532467532468,2.27272727272727,2.75974025974026,1.2987012987013,1.46103896103896,0.811688311688312,0.649350649350649,47.4025974025974,47.4025974025974,0
