"GeographyCode","QS203EW0001","QS203EW0002","QS203EW0003","QS203EW0004","QS203EW0005","QS203EW0006","QS203EW0007","QS203EW0008","QS203EW0009","QS203EW0010","QS203EW0011","QS203EW0012","QS203EW0013","QS203EW0014","QS203EW0015","QS203EW0016","QS203EW0017","QS203EW0018","QS203EW0019","QS203EW0020","QS203EW0021","QS203EW0022","QS203EW0023","QS203EW0024","QS203EW0025","QS203EW0026","QS203EW0027","QS203EW0028","QS203EW0029","QS203EW0030","QS203EW0031","QS203EW0032","QS203EW0033","QS203EW0034","QS203EW0035","QS203EW0036","QS203EW0037","QS203EW0038","QS203EW0039","QS203EW0040","QS203EW0041","QS203EW0042","QS203EW0043","QS203EW0044","QS203EW0045","QS203EW0046","QS203EW0047","QS203EW0048","QS203EW0049","QS203EW0050","QS203EW0051","QS203EW0052","QS203EW0053","QS203EW0054","QS203EW0055","QS203EW0056","QS203EW0057","QS203EW0058","QS203EW0059","QS203EW0060","QS203EW0061","QS203EW0062","QS203EW0063","QS203EW0064","QS203EW0065","QS203EW0066","QS203EW0067","QS203EW0068","QS203EW0069","QS203EW0070","QS203EW0071","QS203EW0072","QS203EW0073","QS203EW0074","QS203EW0075","QS203EW0076","QS203EW0077","QS203EW0078"
"E01000960",1774,1135,826,779,9,21,17,0,0,0,3,0,2,25,279,183,139,34,32,22,7,11,33,44,1,7,6,30,96,8,88,84,13,14,1,7,6,56,6,16,19,2,13,1,374,71,31,40,97,8,11,78,143,37,67,19,12,8,58,12,46,5,116,66,51,15,3,40,7,3,4,65,0,64,48,16,1,0
"E01000961",1591,1087,815,788,3,14,10,0,0,0,0,0,0,20,252,145,106,28,20,16,4,12,26,39,3,5,9,22,107,10,97,121,31,32,4,21,7,54,5,29,5,1,14,4,303,63,29,34,86,19,10,57,111,34,44,14,4,15,41,13,28,2,62,35,31,4,0,19,8,4,4,18,0,18,13,5,0,0
"E01000962",1592,1092,787,731,10,23,23,0,0,0,1,0,0,33,271,225,191,52,33,23,4,24,55,34,0,11,2,21,46,2,44,88,6,15,1,8,6,67,5,3,40,3,16,0,200,56,11,45,61,6,16,39,43,4,28,7,2,2,37,4,33,3,98,73,56,17,3,17,5,2,3,114,0,114,66,48,0,0
"E01000963",1923,905,612,584,8,13,7,0,0,0,0,0,0,24,269,175,134,23,19,23,6,15,48,41,0,10,6,25,94,9,85,124,23,42,3,33,6,58,9,6,25,2,16,1,656,175,92,83,322,37,8,277,105,10,68,17,5,5,48,12,36,6,197,149,139,10,3,40,5,1,4,41,0,39,27,12,2,0
"E01000964",1577,1120,840,789,7,30,13,0,1,0,0,0,2,50,228,170,127,33,25,27,5,8,29,43,1,13,9,20,58,8,50,117,15,18,5,4,9,83,5,19,38,5,16,1,181,51,23,28,39,4,9,26,67,19,28,3,7,10,24,4,20,0,95,67,51,16,5,18,5,3,2,64,0,64,36,28,0,0
"E01000965",1522,1152,870,810,11,30,18,0,1,0,0,0,0,38,244,196,157,36,19,42,3,11,46,39,1,10,2,26,48,0,48,77,11,27,3,12,12,39,3,7,21,1,7,0,177,53,20,33,58,11,4,43,40,9,21,4,5,1,26,8,18,0,77,45,33,12,3,19,10,4,6,39,0,39,29,10,0,0
"E01000966",1512,1082,793,747,8,29,9,0,0,2,1,0,0,30,256,217,187,48,31,38,4,15,51,30,0,10,7,13,39,4,35,79,12,6,2,1,3,61,4,1,43,5,8,0,146,41,6,35,37,11,7,19,46,2,39,2,3,0,20,7,13,2,119,90,67,23,5,19,5,2,3,86,0,85,43,42,1,0
"E01000967",1409,989,753,721,2,21,8,0,1,0,0,0,0,17,219,155,128,47,27,13,8,2,31,27,1,13,4,9,64,13,51,78,10,20,3,16,1,48,4,5,33,0,6,0,187,54,19,35,31,6,4,21,63,12,33,12,3,3,38,19,19,1,119,96,78,18,2,14,7,1,6,36,0,36,20,16,0,0
"E01000968",1505,1160,901,847,19,20,15,0,0,0,0,0,1,43,215,159,124,30,28,23,2,9,32,35,2,9,2,22,56,10,46,57,7,7,0,6,1,43,1,10,19,1,12,0,146,45,18,27,41,11,9,21,41,6,18,5,3,9,18,5,13,1,84,51,35,16,3,20,10,6,4,58,0,58,32,26,0,0
"E01000969",2032,1388,1031,956,11,33,31,0,0,0,0,0,0,35,322,259,194,52,37,39,6,6,54,65,5,25,5,30,63,4,59,123,12,9,0,4,5,102,10,35,41,5,11,0,236,72,21,51,63,7,9,47,68,3,45,11,8,1,31,1,30,2,139,103,78,25,2,22,12,6,6,146,0,146,54,92,0,0
"E01000970",1444,1102,855,774,19,34,28,0,0,0,0,0,0,35,212,175,136,30,15,31,8,17,35,39,2,12,6,19,37,2,35,66,8,6,2,4,0,52,3,5,34,5,5,0,115,30,9,21,30,9,10,11,36,1,18,3,14,0,16,2,14,3,79,42,32,10,3,28,6,1,5,80,0,80,43,37,0,2
"E01000971",1478,1163,958,907,11,32,8,0,0,0,1,0,0,28,176,144,104,29,10,21,4,13,27,40,0,17,4,19,32,6,26,53,7,11,6,2,3,34,3,5,12,2,12,1,117,16,5,11,27,9,3,15,44,23,10,5,6,0,30,5,25,0,96,61,55,6,7,25,3,0,3,49,0,49,37,12,0,0
"E01000972",2009,1396,1041,1002,10,20,9,0,0,0,0,0,0,62,293,209,143,31,14,38,9,20,31,66,5,28,5,28,84,9,75,174,25,50,10,11,29,98,11,34,28,2,23,1,293,73,35,38,89,13,11,65,84,32,27,5,11,9,43,14,29,4,85,36,21,15,0,29,20,6,14,61,0,61,44,17,0,0
"E01000973",1885,1397,1068,999,11,34,22,0,2,2,0,0,0,59,268,223,152,44,19,36,12,7,34,71,1,38,8,24,45,4,41,126,17,30,8,12,10,78,6,29,16,5,22,1,216,46,20,26,40,11,8,21,100,46,27,16,2,9,29,11,18,1,86,47,32,15,4,19,16,4,12,60,0,60,39,21,0,0
"E01000974",1707,1261,986,924,13,27,21,1,0,0,0,0,0,97,178,144,101,20,15,19,9,17,21,43,1,9,0,33,34,3,31,149,12,32,9,11,12,104,2,56,22,3,21,1,171,40,13,27,36,8,12,16,58,32,15,1,2,8,32,18,14,5,79,36,20,16,4,23,16,7,9,47,0,47,32,15,0,0
