Beds,Bathrooms,LivingArea,PlotArea,AskPrice,Description,BuiltYear,Tenure,Property,FloorLevel,Latitude,Longitude,PropertyType,Floor,LeaseYearsLeft,Freehold,DistanceMRT,DistanceCBD,PlanningArea,Region,PriceSqft,Overlooking,Facing
3,2,1238,,968000,HDB Flat for Sale in 121 Kim Tian Place,2001,99,HDB 5 Rooms ,,1.2827027,103.82849,HDB,,78,0,.37712628,2.726903835803554,BUKIT MERAH,CENTRAL REGION,781.90631,City view,North East
3,2,1001,,899000,HDB Flat for Sale in 70A Telok Blangah Heights,2017,99,HDB 4 Rooms ,High,1.2763753,103.81137,HDB,High,94,0,.64675373,4.620304290349702,BUKIT MERAH,CENTRAL REGION,898.10187,Not mentioned,North
4,2,1366,,750000,HDB Flat for Sale in 135 Jalan Bukit Merah,1997,99,HDB 4 Rooms ,,1.2786007,103.82709,HDB,,74,0,.79165524,2.860324933402984,BUKIT MERAH,CENTRAL REGION,549.04834,Not mentioned,.
3,2,1302,,850000,HDB Flat for Sale in 63B Lengkok Bahru,2001,99,HDB 3 Rooms ,,1.289075,103.81532,HDB,,78,0,.18963794,4.303522511308382,BUKIT MERAH,CENTRAL REGION,652.8418,Not mentioned,.
3,2,969,,740000,HDB Flat for Sale in 21 Jalan Membina,2003,99,HDB 3 Rooms ,,1.2850865,103.82578,HDB,,80,0,.15341,3.068703170607082,BUKIT MERAH,CENTRAL REGION,763.67389,Not mentioned,.
3,2,700,,378000,HDB Flat for Sale in 119 Bukit Merah View,1983,99,HDB 3 Rooms ,,1.2835275,103.82083,HDB,,60,0,.7283048,3.584018096129809,BUKIT MERAH,CENTRAL REGION,540,Not mentioned,.
2,2,678,,1510000,2 Bed Condo for Sale in Alex Residences,2018,99,Condo,High (39 total),1.29057,103.819,Condo,High,95,0,.22842233,3.955911428692036,BUKIT MERAH,CENTRAL REGION,2227.1387,City view,.
2,2,883,,2195000,2 Bed Condo for Sale in The Reef At King&#x27;s Dock,2025,99,Condo,,1.2651302,103.81738,Condo,,102,0,.34813941,4.244088481749881,BUKIT MERAH,CENTRAL REGION,2485.8438,Not mentioned,.
3,3,979,,800000,HDB Flat for Sale in 118A Jalan Membina,2003,99,HDB 4 Rooms ,High,1.2814202,103.82565,HDB,High,80,0,.50254178,3.027444958408185,BUKIT MERAH,CENTRAL REGION,817.16034,Not mentioned,.
3,2,990,,1000000,HDB Flat for Sale in 9B Boon Tiong Road,2016,99,HDB ,,1.2868142,103.82893,HDB,,93,0,.16646913,2.777295050714736,BUKIT MERAH,CENTRAL REGION,1010.101,Not mentioned,.
3,2,1335,,1380000,3 Bed Condo for Sale in Spottiswoode Park,1979,99,Condo,,1.274188,103.83544,Condo,,56,0,.6387527,2.01404386594245,BUKIT MERAH,CENTRAL REGION,1033.7079,Not mentioned,.
2,2,700,,345000,HDB Flat for Sale in 128 Bukit Merah View,1973,99,HDB 2 Rooms ,,1.2826468,103.82333,HDB,,50,0,.53345042,3.296837842186386,BUKIT MERAH,CENTRAL REGION,492.85715,Not mentioned,.
3,3,1722,,3080000,3 Bed Condo for Sale in Reflections At Keppel Bay,2011,99,Condo,,1.266854,103.81164,Condo,,88,0,.47009417,4.784539518609329,BUKIT MERAH,CENTRAL REGION,1788.6179,Not mentioned,.
3,2,1001,,920000,HDB Flat for Sale in 70A Telok Blangah Heights,2017,99,HDB 3 Rooms ,,1.2763753,103.81137,HDB,,94,0,.64675373,4.620304290349702,BUKIT MERAH,CENTRAL REGION,919.08093,Not mentioned,.
3,2,968,,720000,HDB Flat for Sale in 20 Jalan Membina,2003,99,HDB 4 Rooms ,,1.2856246,103.82592,HDB,,80,0,.11980352,3.066502310547273,BUKIT MERAH,CENTRAL REGION,743.80164,Not mentioned,.
3,2,1001,,830000,HDB Flat for Sale in 70B Telok Blangah Heights,2017,99,HDB 4 Rooms ,,1.2767495,103.81054,HDB,,94,0,.67056537,4.709837385825709,BUKIT MERAH,CENTRAL REGION,829.17084,Not mentioned,.
1,1,452,,940000,1 Bed Condo for Sale in Echelon,2016,99,Condo,High (46 total),1.29079,103.81806,Condo,High,93,0,.16997699,4.062738209151309,BUKIT MERAH,CENTRAL REGION,2079.646,Greenery view,South
3,2,1184,,868000,HDB Flat for Sale in 131C Kim Tian Road,2002,99,HDB ,,1.2803124,103.82882,HDB,,79,0,.63584387,2.667963678040974,BUKIT MERAH,CENTRAL REGION,733.10809,Not mentioned,.
