Beds,Bathrooms,LivingArea,PlotArea,AskPrice,Description,BuiltYear,Tenure,Property,FloorLevel,Latitude,Longitude,PropertyType,Floor,LeaseYearsLeft,Freehold,DistanceMRT,DistanceCBD,PlanningArea,Region,PriceSqft,Overlooking,Facing
1,1,517,,1340000,1 Bed Condo for Sale in The Asana,2019,999,Condo,Low (5 total),1.3219419,103.81097,Condo,Ground,996,1,.45055881,6.614274612977415,BUKIT TIMAH,CENTRAL REGION,2591.8762,Not mentioned,.
3,2,1076,,1896000,3 Bed Condo for Sale in Forett @ Bukit Timah,2024,999,Condo,,1.3404731,103.76839,Condo,,1001,1,.79574573,11.56620682384635,BUKIT TIMAH,CENTRAL REGION,1762.0818,Not mentioned,.
2,2,1195,,2500000,2 Bed Condo for Sale in Parvis,2012,999,Condo,,1.3103228,103.80018,Condo,,989,1,.45999655,6.777916225373168,BUKIT TIMAH,CENTRAL REGION,2092.0503,Not mentioned,.
4,3,1496,,4323000,4 Bed Condo for Sale in Leedon Green,2023,999,Condo,Low (12 total),1.3125193,103.80321,Condo,Ground,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2889.7058,Greenery view,.
4,2,1302,,2676000,4 Bed Condo for Sale in Forett @ Bukit Timah,2024,999,Apartment,,1.3404731,103.76839,,,1001,1,.79574573,11.56620682384635,BUKIT TIMAH,CENTRAL REGION,2055.2996,Greenery view,.
3,2,1356,,3756000,3 Bed Condo for Sale in Leedon Green,2023,999,Condo,,1.3125193,103.80321,Condo,,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2769.9116,Not mentioned,.
3,2,915,,2060000,3 Bed Condo for Sale in Fourth Avenue Residences,2022,99,Condo,,1.3300914,103.79677,Condo,,99,0,.079335831,8.381156702807596,BUKIT TIMAH,CENTRAL REGION,2251.3662,Not mentioned,.
2,2,657,,1250000,2 Bed Condo for Sale in The Creek @ Bukit,2017,999,Condo,,1.33945,103.76968,Condo,,994,1,.67925972,11.38297810956292,BUKIT TIMAH,CENTRAL REGION,1902.5875,Not mentioned,.
3,2,990,,2629000,3 Bed Condo for Sale in Royalgreen,2022,999,Condo,,1.3313295,103.79389,Condo,,999,1,.30414343,8.711461648782398,BUKIT TIMAH,CENTRAL REGION,2655.5557,Not mentioned,.
4,3,1485,,4000000,4 Bed Condo for Sale in Leedon Green,2023,999,Condo,,1.3125193,103.80321,Condo,,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2693.6028,Not mentioned,.
3,2,915,,2150000,3 Bed Condo for Sale in Fourth Avenue Residences,2022,99,Condo,,1.3300914,103.79677,Condo,,99,0,.079335831,8.381156702807596,BUKIT TIMAH,CENTRAL REGION,2349.7268,Not mentioned,.
1,1,635,,1200000,1 Bed Condo for Sale in D&#x27;leedon,2015,99,Condo,Mid (36 total),1.315537,103.80276,Condo,Mid,92,0,.56148934,6.850926297353324,BUKIT TIMAH,CENTRAL REGION,1889.7638,Pool view,South
2,3,1292,,3919770,2 Bed Condo for Sale in 15 Holland Hill,2022,999,Condo,,1.3094316,103.80082,Condo,,999,1,.55679989,6.666821939902167,BUKIT TIMAH,CENTRAL REGION,3033.8777,Not mentioned,.
4,3,1345,,3332000,4 Bed Condo for Sale in The Linq @ Beauty World,2023,999,Condo,,1.341019,103.77631,Condo,,1000,1,.082930088,10.90036928105967,BUKIT TIMAH,CENTRAL REGION,2477.3235,Not mentioned,.
2,2,657,,1250000,2 Bed Condo for Sale in The Creek @ Bukit,2017,999,Condo,,1.33945,103.76968,Condo,,994,1,.67925972,11.38297810956292,BUKIT TIMAH,CENTRAL REGION,1902.5875,City view,North
2,1,570,,1496300,2 Bed Condo for Sale in Hyll on Holland,2025,999,Condo,,1.3104295,103.8023,Condo,,1002,1,.69076461,6.581276322548582,BUKIT TIMAH,CENTRAL REGION,2625.0876,Greenery view,.
4,4,1259,,3550000,4 Bed Condo for Sale in Royalgreen,2022,999,Condo,,1.3313295,103.79389,Condo,,999,1,.30414343,8.711461648782398,BUKIT TIMAH,CENTRAL REGION,2819.6982,Not mentioned,.
3,2,936,,2290900,3 Bed Condo for Sale in Hyll on Holland,2025,999,Condo,Low (12 total),1.3104295,103.8023,Condo,Ground,1002,1,.69076461,6.581276322548582,BUKIT TIMAH,CENTRAL REGION,2447.5427,Greenery view,.
3,2,1113,,650000,HDB Flat for Sale in 14 Toh Yi Drive,1988,99,HDB ,,1.339087,103.77257,HDB,,65,0,.36926579,11.09991330447843,BUKIT TIMAH,CENTRAL REGION,584.0072,Not mentioned,.
2,1,700,,1327000,2 Bed Condo for Sale in Parksuites,2023,110,Apartment,,1.3164867,103.78295,,,111,0,.7281515,8.785419317160095,BUKIT TIMAH,CENTRAL REGION,1895.7142,Greenery view,.
3,3,1687,,1860000,3 Bed Condo for Sale in Pine Grove,1984,99,Condo,,1.3181467,103.77472,Condo,,61,0,.8264522,9.685031175062877,BUKIT TIMAH,CENTRAL REGION,1102.549,Not mentioned,.
3,3,958,,2416000,3 Bed Condo for Sale in Leedon Green,2023,999,Condo,,1.3125193,103.80321,Condo,,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2521.9207,Pool view,.
3,3,1667,,2700000,3 Bed Condo for Sale in Pandan Valley,1978,999,Condo,,1.3201921,103.77926,Condo,,955,1,.94390506,9.341611846873557,BUKIT TIMAH,CENTRAL REGION,1619.676,Not mentioned,.
2,2,710,,1660000,2 Bed Condo for Sale in Fourth Avenue Residences,2022,99,Condo,,1.3300914,103.79677,Condo,,99,0,.079335831,8.381156702807596,BUKIT TIMAH,CENTRAL REGION,2338.0281,Not mentioned,.
3,2,1464,,3034074,3 Bed Condo for Sale in Parksuites,2023,110,Condo,Mid (4 total),1.3164867,103.78295,Condo,Mid,111,0,.7281515,8.785419317160095,BUKIT TIMAH,CENTRAL REGION,2072.4548,City view,.
3,2,1711,,2400000,3 Bed Condo for Sale in Hillcrest Arcadia,1980,99,Condo,,1.3347439,103.80898,Condo,,57,0,.95975912,7.821431168885757,BUKIT TIMAH,CENTRAL REGION,1402.6885,Not mentioned,.
3,2,1109,,2340000,3 Bed Condo for Sale in Fourth Avenue Residences,2022,99,Condo,Low (10 total),1.3300914,103.79677,Condo,Ground,99,0,.079335831,8.381156702807596,BUKIT TIMAH,CENTRAL REGION,2110.009,Pool view,North South
2,1,700,,1346000,2 Bed Condo for Sale in Parksuites,2023,110,Condo,,1.3164867,103.78295,Condo,,111,0,.7281515,8.785419317160095,BUKIT TIMAH,CENTRAL REGION,1922.8572,Greenery view,South
2,2,667,,1703120,2 Bed Condo for Sale in Royalgreen,2022,999,Condo,,1.3313295,103.79389,Condo,,999,1,.30414343,8.711461648782398,BUKIT TIMAH,CENTRAL REGION,2553.4033,Greenery view,.
3,1,980,,638000,HDB Flat for Sale in 3 Queen&#x27;s Road,1974,99,HDB 4 Rooms ,Mid,1.3183334,103.8081,HDB,Mid,51,0,.093966104,6.575456315967273,BUKIT TIMAH,CENTRAL REGION,651.02039,Not mentioned,South
4,4,1432,,4122840,4 Bed Condo for Sale in Royalgreen,2022,999,Condo,,1.3313295,103.79389,Condo,,999,1,.30414343,8.711461648782398,BUKIT TIMAH,CENTRAL REGION,2879.0781,Not mentioned,.
3,2,958,,2530000,3 Bed Condo for Sale in Leedon Green,2023,999,Condo,,1.3125193,103.80321,Condo,,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2640.9187,Not mentioned,.
2,2,689,,1451300,2 Bed Condo for Sale in Mayfair Modern,2024,99,Condo,,1.3374646,103.78162,Condo,,101,0,.26425931,10.19292972993734,BUKIT TIMAH,CENTRAL REGION,2106.386,Not mentioned,.
2,2,646,,1448800,2 Bed Condo for Sale in Dunearn 386,2022,999,Condo,,1.32444,103.81184,Condo,,999,1,.40836224,6.748255833130036,BUKIT TIMAH,CENTRAL REGION,2242.7244,Not mentioned,.
3,2,958,,2300000,3 Bed Condo for Sale in Leedon Green,2023,999,Condo,,1.3125193,103.80321,Condo,,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2400.835,Greenery view,.
1,1,495,,1042000,1 Bed Condo for Sale in Forett @ Bukit Timah,2024,999,Condo,,1.3404731,103.76839,Condo,,1001,1,.79574573,11.56620682384635,BUKIT TIMAH,CENTRAL REGION,2105.0505,Greenery view,.
3,2,1044,,2900000,3 Bed Condo for Sale in Leedon Green,2023,999,Condo,,1.3125193,103.80321,Condo,,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2777.7778,Not mentioned,.
3,2,1119,,1890000,3 Bed Condo for Sale in Forett @ Bukit Timah,2024,999,Condo,,1.3404731,103.76839,Condo,,1001,1,.79574573,11.56620682384635,BUKIT TIMAH,CENTRAL REGION,1689.0081,Not mentioned,.
3,3,1399,,2500000,3 Bed Condo for Sale in Orchid Apartments,1977,999,Condo,Mid,1.3340051,103.79885,Condo,Mid,954,1,.35397547,8.511434855818528,BUKIT TIMAH,CENTRAL REGION,1786.9907,Greenery view,South
3,2,915,,2231560,3 Bed Condo for Sale in Fourth Avenue Residences,2022,99,Condo,Mid (10 total),1.3300914,103.79677,Condo,Mid,99,0,.079335831,8.381156702807596,BUKIT TIMAH,CENTRAL REGION,2438.8633,Not mentioned,.
1,1,474,,984000,1 Bed Condo for Sale in Forett @ Bukit Timah,2024,999,Apartment,High (9 total),1.3404731,103.76839,,High,1001,1,.79574573,11.56620682384635,BUKIT TIMAH,CENTRAL REGION,2075.9495,City view,.
0,1,495,,1150000,Studio Condo for Sale in Kap Residences,2016,999,Condo,,1.3368422,103.77931,Condo,,993,1,.43795669,10.35170365519207,BUKIT TIMAH,CENTRAL REGION,2323.2324,Not mentioned,.
2,2,657,,1380000,2 Bed Condo for Sale in Hyll on Holland,2025,999,Condo,,1.3104295,103.8023,Condo,,1002,1,.69076461,6.581276322548582,BUKIT TIMAH,CENTRAL REGION,2100.4565,Not mentioned,.
1,1,506,,1221000,1 Bed Condo for Sale in Fourth Avenue Residences,2022,99,Condo,,1.3300914,103.79677,Condo,,99,0,.079335831,8.381156702807596,BUKIT TIMAH,CENTRAL REGION,2413.0435,Not mentioned,.
1,1,484,,1188000,1 Bed Condo for Sale in Fourth Avenue Residences,2022,99,Apartment,,1.3300914,103.79677,,,99,0,.079335831,8.381156702807596,BUKIT TIMAH,CENTRAL REGION,2454.5454,City view,.
4,3,1302,,2754000,4 Bed Condo for Sale in Forett @ Bukit Timah,2024,999,Condo,,1.3404731,103.76839,Condo,,1001,1,.79574573,11.56620682384635,BUKIT TIMAH,CENTRAL REGION,2115.2073,Not mentioned,.
1,1,474,,1004000,1 Bed Condo for Sale in Forett @ Bukit Timah,2024,999,Condo,,1.3404731,103.76839,Condo,,1001,1,.79574573,11.56620682384635,BUKIT TIMAH,CENTRAL REGION,2118.1436,Not mentioned,.
5,4,1884,,4046000,5 Bed Condo for Sale in Forett @ Bukit Timah,2024,999,Condo,,1.3404731,103.76839,Condo,,1001,1,.79574573,11.56620682384635,BUKIT TIMAH,CENTRAL REGION,2147.5583,Not mentioned,.
4,3,1485,,3500000,4 Bed Condo for Sale in Fourth Avenue Residences,2022,99,Condo,High (10 total),1.3300914,103.79677,Condo,High,99,0,.079335831,8.381156702807596,BUKIT TIMAH,CENTRAL REGION,2356.9023,City view,South
4,3,1475,,3280000,4 Bed Condo for Sale in Fourth Avenue Residences,2022,99,Condo,,1.3300914,103.79677,Condo,,99,0,.079335831,8.381156702807596,BUKIT TIMAH,CENTRAL REGION,2223.7288,Not mentioned,.
2,2,786,,1570000,2 Bed Condo for Sale in Mayfair Gardens,2024,99,Condo,High (5 total),1.3384202,103.78178,Condo,High,101,0,.34788027,10.24668903374361,BUKIT TIMAH,CENTRAL REGION,1997.4554,City view,.
3,2,990,,2507888,3 Bed Condo for Sale in Mooi Residences,2024,999,Condo,,1.3125581,103.79834,Condo,,1001,1,.28579468,7.080101461685867,BUKIT TIMAH,CENTRAL REGION,2533.2202,Not mentioned,.
2,3,990,,1880000,2 Bed Condo for Sale in The Cascadia,2011,999,Condo,,1.3331465,103.78721,Condo,,988,1,.42976478,9.409463791988539,BUKIT TIMAH,CENTRAL REGION,1898.9899,Not mentioned,.
1,1,474,,1274000,1 Bed Condo for Sale in Leedon Green,2023,999,Condo,Low (12 total),1.3125193,103.80321,Condo,Ground,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2687.7637,Not mentioned,.
2,1,570,,1485000,2 Bed Condo for Sale in Hyll on Holland,2025,999,Condo,,1.3104295,103.8023,Condo,,1002,1,.69076461,6.581276322548582,BUKIT TIMAH,CENTRAL REGION,2605.2632,Not mentioned,.
3,2,1421,,2845785,3 Bed Condo for Sale in Parksuites,2023,110,Apartment,,1.3164867,103.78295,,,111,0,.7281515,8.785419317160095,BUKIT TIMAH,CENTRAL REGION,2002.6636,City view,.
1,1,581,,1459000,1 Bed Condo for Sale in Leedon Green,2023,999,Condo,,1.3125193,103.80321,Condo,,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2511.1875,Greenery view,.
3,2,980,,2540000,3 Bed Condo for Sale in Royalgreen,2022,999,Condo,,1.3313295,103.79389,Condo,,999,1,.30414343,8.711461648782398,BUKIT TIMAH,CENTRAL REGION,2591.8367,Greenery view,.
3,2,990,,2580000,3 Bed Condo for Sale in Royalgreen,2022,999,Condo,,1.3313295,103.79389,Condo,,999,1,.30414343,8.711461648782398,BUKIT TIMAH,CENTRAL REGION,2606.0605,Not mentioned,.
3,2,1119,,688000,HDB Flat for Sale in 12 Toh Yi Drive,1989,99,HDB ,,1.3384027,103.77268,HDB,,66,0,.38491088,11.0448284971462,BUKIT TIMAH,CENTRAL REGION,614.83466,Not mentioned,.
3,3,1163,,1880000,3 Bed Condo for Sale in Gardenvista,2006,99,Condo,High (10 total),1.3384984,103.78013,Condo,High,83,0,.4596954,10.39420390465098,BUKIT TIMAH,CENTRAL REGION,1616.509,Not mentioned,.
2,2,614,,1173000,2 Bed Condo for Sale in Hyll on Holland,2025,999,Condo,,1.3104295,103.8023,Condo,,1002,1,.69076461,6.581276322548582,BUKIT TIMAH,CENTRAL REGION,1910.4235,Greenery view,.
2,2,657,,1470000,2 Bed Condo for Sale in Hyll on Holland,2025,999,Condo,High (12 total),1.3104295,103.8023,Condo,High,1002,1,.69076461,6.581276322548582,BUKIT TIMAH,CENTRAL REGION,2237.4429,Sea view,North
3,1,979,,618000,HDB Flat for Sale in 3 Queen&#x27;s Road,1974,99,HDB ,,1.3183334,103.8081,HDB,,51,0,.093966104,6.575456315967273,BUKIT TIMAH,CENTRAL REGION,631.25641,Not mentioned,.
1,1,474,,1183000,1 Bed Condo for Sale in Leedon Green,2023,999,Condo,,1.3125193,103.80321,Condo,,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2495.7805,Not mentioned,.
2,2,710,,1870000,2 Bed Condo for Sale in Royalgreen,2022,999,Condo,Low (5 total),1.3313295,103.79389,Condo,Ground,999,1,.30414343,8.711461648782398,BUKIT TIMAH,CENTRAL REGION,2633.8027,Greenery view,North South
4,2,1335,,3383888,4 Bed Condo for Sale in Mooi Residences,2024,999,Condo,,1.3125581,103.79834,Condo,,1001,1,.28579468,7.080101461685867,BUKIT TIMAH,CENTRAL REGION,2534.7476,Not mentioned,.
1,1,420,,1200000,1 Bed Condo for Sale in The Enclave . Holland,2020,999,Apartment,,1.3121352,103.79901,,,997,1,.33490002,6.991970119366406,BUKIT TIMAH,CENTRAL REGION,2857.1428,Not mentioned,.
2,2,915,,1750000,2 Bed Condo for Sale in Maplewoods,1997,999,Condo,Ground (10 total),1.3340592,103.78465,Condo,Ground,974,1,.21215187,9.694963047714971,BUKIT TIMAH,CENTRAL REGION,1912.5684,Greenery view,.
1,1,506,,1053000,1 Bed Condo for Sale in Mayfair Modern,2024,99,Condo,High (8 total),1.3374646,103.78162,Condo,High,101,0,.26425931,10.19292972993734,BUKIT TIMAH,CENTRAL REGION,2081.0276,Pool view,.
3,3,1109,,2472200,3 Bed Condo for Sale in Fourth Avenue Residences,2022,99,Condo,High (10 total),1.3300914,103.79677,Condo,High,99,0,.079335831,8.381156702807596,BUKIT TIMAH,CENTRAL REGION,2229.2156,Greenery view,.
4,2,1120,,645000,HDB Flat for Sale in 1 Toh Yi Drive,1988,99,HDB ,,1.3395717,103.77468,HDB,,65,0,.12881747,10.94415718568164,BUKIT TIMAH,CENTRAL REGION,575.89288,Not mentioned,.
1,1,506,,1180640,1 Bed Condo for Sale in Fourth Avenue Residences,2022,99,Condo,,1.3300914,103.79677,Condo,,99,0,.079335831,8.381156702807596,BUKIT TIMAH,CENTRAL REGION,2333.2805,Not mentioned,.
4,3,1496,,3430000,4 Bed Condo for Sale in Leedon Green,2023,999,Condo,High (12 total),1.3125193,103.80321,Condo,High,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2292.7808,Greenery view,.
2,2,710,,1787880,2 Bed Condo for Sale in Fourth Avenue Residences,2022,99,Condo,,1.3300914,103.79677,Condo,,99,0,.079335831,8.381156702807596,BUKIT TIMAH,CENTRAL REGION,2518.1409,Not mentioned,.
1,1,517,,1010000,1 Bed Condo for Sale in Mayfair Gardens,2024,99,Condo,Low (5 total),1.3384202,103.78178,Condo,Ground,101,0,.34788027,10.24668903374361,BUKIT TIMAH,CENTRAL REGION,1953.5784,Greenery view,North South
2,2,840,,1930000,2 Bed Condo for Sale in Floridian,2011,999,Condo,,1.3330177,103.78553,Condo,,988,1,.34442842,9.546208257330528,BUKIT TIMAH,CENTRAL REGION,2297.6191,Not mentioned,North East
2,2,732,,1478000,2 Bed Condo for Sale in Forett @ Bukit Timah,2024,999,Apartment,,1.3404731,103.76839,,,1001,1,.79574573,11.56620682384635,BUKIT TIMAH,CENTRAL REGION,2019.1257,Pool view,.
1,1,474,,1312500,1 Bed Condo for Sale in Leedon Green,2023,999,Condo,,1.3125193,103.80321,Condo,,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2768.9873,Not mentioned,.
3,2,1313,,820000,HDB Flat for Sale in 17 Toh Yi Drive,1988,99,HDB 5 Rooms ,High,1.339769,103.77255,HDB,High,65,0,.35823274,11.1462606647698,BUKIT TIMAH,CENTRAL REGION,624.52399,Not mentioned,North
2,2,710,,1872480,2 Bed Condo for Sale in Royalgreen,2022,999,Condo,,1.3313295,103.79389,Condo,,999,1,.30414343,8.711461648782398,BUKIT TIMAH,CENTRAL REGION,2637.2957,Not mentioned,.
3,2,1119,,688000,HDB Flat for Sale in 12 Toh Yi Drive,1989,99,HDB 3 Rooms ,Low,1.3384027,103.77268,HDB,Ground,66,0,.38491088,11.0448284971462,BUKIT TIMAH,CENTRAL REGION,614.83466,Not mentioned,North
5,2,1270,,2116000,5 Bed Condo for Sale in View at Kismis,2023,99,Apartment,High (7 total),1.3382226,103.76987,,High,100,0,.6837396,11.28701973773965,BUKIT TIMAH,CENTRAL REGION,1666.1417,Greenery view,.
2,2,657,,900000,2 Bed Condo for Sale in The Hillford,2017,60,Condo,,1.3440434,103.76955,Condo,,55,0,.71130025,11.69853128068409,BUKIT TIMAH,CENTRAL REGION,1369.863,Not mentioned,North
2,2,506,,850000,2 Bed Condo for Sale in Nottinghill Suites,2016,999,Apartment,,1.338854,103.76918,,,993,1,.74328631,11.39039818190394,BUKIT TIMAH,CENTRAL REGION,1679.8419,Not mentioned,.
2,2,743,,1485000,2 Bed Condo for Sale in Forett @ Bukit Timah,2024,999,Condo,,1.3404731,103.76839,Condo,,1001,1,.79574573,11.56620682384635,BUKIT TIMAH,CENTRAL REGION,1998.6541,Not mentioned,.
3,3,1647,,2700000,3 Bed Condo for Sale in Pandan Valley,1978,999,Condo,,1.3201921,103.77926,Condo,,955,1,.94390506,9.341611846873557,BUKIT TIMAH,CENTRAL REGION,1639.3442,Not mentioned,.
2,1,699,,360000,HDB Flat for Sale in 8 Empress Road,1976,99,HDB ,,1.3164119,103.80537,HDB,,53,0,.25717571,6.675300489145505,BUKIT TIMAH,CENTRAL REGION,515.02148,Not mentioned,.
2,1,570,,1199000,2 Bed Condo for Sale in Forett @ Bukit Timah,2024,999,Condo,,1.3404731,103.76839,Condo,,1001,1,.79574573,11.56620682384635,BUKIT TIMAH,CENTRAL REGION,2103.5088,Not mentioned,.
2,1,570,,1481900,2 Bed Condo for Sale in Hyll on Holland,2025,999,Condo,,1.3104295,103.8023,Condo,,1002,1,.69076461,6.581276322548582,BUKIT TIMAH,CENTRAL REGION,2599.8245,Sea view,North South
4,3,1496,,3980000,4 Bed Condo for Sale in Leedon Green,2023,999,Condo,,1.3125193,103.80321,Condo,,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2660.4277,Not mentioned,.
2,1,667,,1610000,2 Bed Condo for Sale in Leedon Green,2023,999,Condo,,1.3125193,103.80321,Condo,,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2413.7932,Not mentioned,.
2,1,614,,1400000,2 Bed Condo for Sale in Hyll on Holland,2025,999,Condo,,1.3104295,103.8023,Condo,,1002,1,.69076461,6.581276322548582,BUKIT TIMAH,CENTRAL REGION,2280.1304,Not mentioned,.
3,3,1109,,2450000,3 Bed Condo for Sale in Fourth Avenue Residences,2022,99,Condo,,1.3300914,103.79677,Condo,,99,0,.079335831,8.381156702807596,BUKIT TIMAH,CENTRAL REGION,2209.1975,Not mentioned,.
3,2,883,,2128000,3 Bed Condo for Sale in Mooi Residences,2024,999,Condo,,1.3125581,103.79834,Condo,,1001,1,.28579468,7.080101461685867,BUKIT TIMAH,CENTRAL REGION,2409.9661,Not mentioned,.
2,1,915,,1600000,2 Bed Condo for Sale in D&#x27;leedon,2015,99,Condo,,1.315537,103.80276,Condo,,92,0,.56148934,6.850926297353324,BUKIT TIMAH,CENTRAL REGION,1748.6339,Not mentioned,.
2,2,667,,1640000,2 Bed Condo for Sale in Leedon Green,2023,999,Condo,,1.3125193,103.80321,Condo,,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2458.7705,Greenery view,.
3,2,807,,2088000,3 Bed Condo for Sale in Royalgreen,2022,999,Condo,,1.3313295,103.79389,Condo,,999,1,.30414343,8.711461648782398,BUKIT TIMAH,CENTRAL REGION,2587.3606,Not mentioned,.
2,3,1109,,2100000,2 Bed Condo for Sale in King Albert Lodge,1997,999,Condo,,1.3365735,103.7803,Condo,,974,1,.32485294,10.24706542661268,BUKIT TIMAH,CENTRAL REGION,1893.5978,Not mentioned,North
1,1,506,,965000,1 Bed Condo for Sale in Mayfair Gardens,2024,99,Condo,,1.3384202,103.78178,Condo,,101,0,.34788027,10.24668903374361,BUKIT TIMAH,CENTRAL REGION,1907.1146,Greenery view,.
3,3,1216,,1968000,3 Bed Condo for Sale in Mayfair Gardens,2024,99,Condo,High (5 total),1.3384202,103.78178,Condo,High,101,0,.34788027,10.24668903374361,BUKIT TIMAH,CENTRAL REGION,1618.421,Pool view,.
3,2,947,,2000000,3 Bed Condo for Sale in Fourth Avenue Residences,2022,99,Condo,,1.3300914,103.79677,Condo,,99,0,.079335831,8.381156702807596,BUKIT TIMAH,CENTRAL REGION,2111.9324,Not mentioned,.
1,1,474,,1278000,1 Bed Condo for Sale in Leedon Green,2023,999,Condo,,1.3125193,103.80321,Condo,,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2696.2026,Not mentioned,South
2,2,657,,1611700,2 Bed Condo for Sale in Hyll on Holland,2025,999,Condo,,1.3104295,103.8023,Condo,,1002,1,.69076461,6.581276322548582,BUKIT TIMAH,CENTRAL REGION,2453.1204,Not mentioned,.
4,4,1863,,4100000,4 Bed Condo for Sale in Floridian,2011,999,Condo,Mid (10 total),1.3330177,103.78553,Condo,Mid,988,1,.34442842,9.546208257330528,BUKIT TIMAH,CENTRAL REGION,2200.7515,Pool view,South West
3,3,1292,,5390000,3 Bed Condo for Sale in 15 Holland Hill,2022,999,Condo,,1.3094316,103.80082,Condo,,999,1,.55679989,6.666821939902167,BUKIT TIMAH,CENTRAL REGION,4171.8267,Not mentioned,.
2,1,635,,1784100,2 Bed Condo for Sale in Royalgreen,2022,999,Condo,Low (5 total),1.3313295,103.79389,Condo,Ground,999,1,.30414343,8.711461648782398,BUKIT TIMAH,CENTRAL REGION,2809.6062,Greenery view,.
5,3,1163,,2900000,5 Bed Condo for Sale in Dunearn 386,2022,999,Apartment,,1.32444,103.81184,,,999,1,.40836224,6.748255833130036,BUKIT TIMAH,CENTRAL REGION,2493.5513,Pool view,.
2,2,721,,1380000,2 Bed Condo for Sale in The Creek @ Bukit,2017,999,Condo,,1.33945,103.76968,Condo,,994,1,.67925972,11.38297810956292,BUKIT TIMAH,CENTRAL REGION,1914.0083,Not mentioned,North
2,2,732,,1400000,2 Bed Condo for Sale in Forett @ Bukit Timah,2024,999,Apartment,Low (9 total),1.3404731,103.76839,,Ground,1001,1,.79574573,11.56620682384635,BUKIT TIMAH,CENTRAL REGION,1912.5684,Pool view,.
4,3,1346,,3332000,4 Bed Condo for Sale in The Linq @ Beauty World,2023,999,Condo,,1.341019,103.77631,Condo,,1000,1,.082930088,10.90036928105967,BUKIT TIMAH,CENTRAL REGION,2475.4829,Not mentioned,.
1,1,474,,1290000,1 Bed Condo for Sale in Leedon Green,2023,999,Condo,High (12 total),1.3125193,103.80321,Condo,High,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2721.519,Greenery view,North
3,3,1281,,4248000,3 Bed Condo for Sale in Maplewoods,1997,999,Condo,,1.3340592,103.78465,Condo,,974,1,.21215187,9.694963047714971,BUKIT TIMAH,CENTRAL REGION,3316.1592,Not mentioned,.
2,1,667,,1540000,2 Bed Condo for Sale in Leedon Green,2023,999,Condo,,1.3125193,103.80321,Condo,,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2308.8455,Not mentioned,.
3,3,1356,,3756000,3 Bed Condo for Sale in Leedon Green,2023,999,Condo,Low (12 total),1.3125193,103.80321,Condo,Ground,1000,1,.72537947,6.620139824790762,BUKIT TIMAH,CENTRAL REGION,2769.9116,Not mentioned,.
2,1,570,,1496300,2 Bed Condo for Sale in Hyll on Holland,2025,999,Condo,,1.3104295,103.8023,Condo,,1002,1,.69076461,6.581276322548582,BUKIT TIMAH,CENTRAL REGION,2625.0876,Not mentioned,.
2,1,474,,900000,2 Bed Condo for Sale in Forett @ Bukit Timah,2024,999,Condo,,1.3404731,103.76839,Condo,,1001,1,.79574573,11.56620682384635,BUKIT TIMAH,CENTRAL REGION,1898.7341,Greenery view,.
1,1,570,,1187000,1 Bed Condo for Sale in Mayfair Gardens,2024,99,Condo,Mid (5 total),1.3384202,103.78178,Condo,Mid,101,0,.34788027,10.24668903374361,BUKIT TIMAH,CENTRAL REGION,2082.4561,City view,.
1,1,474,,880000,1 Bed Condo for Sale in Forett @ Bukit Timah,2024,999,Condo,,1.3404731,103.76839,Condo,,1001,1,.79574573,11.56620682384635,BUKIT TIMAH,CENTRAL REGION,1856.54,Not mentioned,.
2,2,850,,1880000,2 Bed Condo for Sale in Maplewoods,1997,999,Condo,,1.3340592,103.78465,Condo,,974,1,.21215187,9.694963047714971,BUKIT TIMAH,CENTRAL REGION,2211.7646,Not mentioned,.
4,3,1475,,3788888,4 Bed Condo for Sale in Royalgreen,2022,999,Condo,,1.3313295,103.79389,Condo,,999,1,.30414343,8.711461648782398,BUKIT TIMAH,CENTRAL REGION,2568.7375,Not mentioned,.
