"","Discipline","x"
"1","Airport Systems",469121831.756185
"2","Architectural",31972700
"3","Civil and Structure",415526746.539691
"4","Finishes",1536270847.94694
"5","Furniture and Signage",214175967.348023
"6","IT",17214159.5285012
"7","IT Systems",373435285.556238
"8","Landscape",915033214.308928
"9","MEPF",312377872.15911
"10","Pavement and Ultilities",427599126.271985
"11","Roof and Façade",892104385.403793
"12","Structural",1.05e+08
