Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2020,3,1,0,0,0,0,28.1,32.7,25.2,12.6,37.4
Changi,2020,3,2,0,0,0,0,28.3,32.7,24.8,11.5,34.9
Changi,2020,3,3,0,0,0,0,28.5,32.8,25.8,13,34.9
Changi,2020,3,4,0,0,0,0,28.9,33.4,26.2,12.6,33.8
Changi,2020,3,5,0,0,0,0,28.2,30.9,26.8,10.8,34.9
Changi,2020,3,6,0,0,0,0,28.2,31.3,26.1,7.9,24.5
Changi,2020,3,7,27.6,25.6,27,27.6,28,33.9,24.3,8.3,36.7
Changi,2020,3,8,12.4,8.8,11.8,12.4,27.8,33.1,25.4,6.5,27.4
Changi,2020,3,9,0,0,0,0,28.4,32.9,25.2,8.3,26.6
Changi,2020,3,10,0,0,0,0,28.9,33.1,26.3,10.4,31.3
Changi,2020,3,11,0,0,0,0,29.1,33.8,26.7,10.1,28.1
Changi,2020,3,12,0,0,0,0,28.9,32.8,25.8,12.2,39.6
Changi,2020,3,13,0,0,0,0,29.3,34,26.1,10.1,27.4
Changi,2020,3,14,0,0,0,0,29.1,33,26.8,12.6,29.5
Changi,2020,3,15,0,0,0,0,29.3,33.5,27.1,13.3,32.4
Changi,2020,3,16,0.4,0.4,0.4,0.4,29,33,26.9,15.5,38.5
Changi,2020,3,17,0,0,0,0,28.8,32.9,26.2,13,37.8
Changi,2020,3,18,0,0,0,0,29,33.7,26.1,13,36.4
Changi,2020,3,19,0,0,0,0,28.6,32.9,25.8,10.1,28.8
Changi,2020,3,20,0.2,0.2,0.2,0.2,28.3,32.2,26,10.4,30.6
Changi,2020,3,21,47.4,22.4,34.8,46,27.6,31.2,24.4,9.7,44.6
Changi,2020,3,22,0.8,0.8,0.8,0.8,28,32.5,26.3,7.6,29.9
Changi,2020,3,23,19.8,16.6,18,19.8,26.6,30.2,24.1,6.1,33.1
Changi,2020,3,24,0.2,0.2,0.2,0.2,28.1,32.3,24.9,10.8,37.1
Changi,2020,3,25,0,0,0,0,28.6,33.1,25.7,9.7,28.4
Changi,2020,3,26,0,0,0,0,29.3,33.4,26.4,10.8,29.9
Changi,2020,3,27,0,0,0,0,29.3,33.6,26.4,10.1,32.8
Changi,2020,3,28,0,0,0,0,29.2,33.5,26.2,10.1,28.1
Changi,2020,3,29,0,0,0,0,29.1,32.9,26.7,12.2,32
Changi,2020,3,30,0,0,0,0,29.1,33.8,26.1,10.1,26.3
Changi,2020,3,31,0,0,0,0,29.5,33.9,27,11.2,32.8
